LineNo,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
3226,6.0516e+07,2,-0.00082899,1.1591e-05,-8.3038e-05,-0.21567,-0.12089,-9.8139,0,0,36.75,1,1,7746,3872
3257,6.0518e+07,2,-0.00051627,8.3025e-05,0.00036515,-0.21387,-0.11775,-9.809,0,0,36.75,1,1,7746,3872
3261,6.0521e+07,2,-0.0011597,9.5392e-05,0.0015692,-0.21417,-0.11536,-9.8064,0,0,36.75,1,1,7746,3872
3264,6.0523e+07,2,-0.0017586,0.00054024,0.0020535,-0.21495,-0.11321,-9.8054,0,0,36.75,1,1,7746,3872
3267,6.0526e+07,2,-0.0018177,0.0013271,0.0013335,-0.21631,-0.11155,-9.8045,0,0,36.75,1,1,7746,3872
3298,6.0529e+07,2,-0.001718,0.00085408,0.00063389,-0.21905,-0.10934,-9.8027,0,0,36.75,1,1,7746,3872
3301,6.0531e+07,2,-0.00098403,-0.00030278,0.00082185,-0.22,-0.10727,-9.8026,0,0,36.75,1,1,7746,3872
3305,6.0534e+07,2,0.00066079,-0.0015239,0.0014446,-0.22026,-0.10441,-9.8047,0,0,36.75,1,1,7746,3872
3308,6.0536e+07,2,0.00023416,-0.0017544,0.0013122,-0.22053,-0.10337,-9.8067,0,0,36.75,1,1,7746,3872
3339,6.0539e+07,2,-0.0013503,-0.0009007,0.00083582,-0.22273,-0.10331,-9.812,0,0,36.75,1,1,7746,3872
3342,6.0542e+07,2,-0.0017479,-5.3088e-05,0.00062126,-0.22472,-0.10352,-9.8149,0,0,36.75,1,1,7746,3872
3346,6.0544e+07,2,-0.0019367,0.00059927,0.00044861,-0.22683,-0.10586,-9.8162,0,0,36.75,1,1,7746,3872
3349,6.0546e+07,2,-0.0014347,-0.00030117,0.00084554,-0.22755,-0.10809,-9.8161,0,0,36.75,1,1,7746,3872
3382,6.055e+07,2,-0.001168,-0.00076579,0.00085177,-0.22725,-0.11034,-9.8172,0,0,36.75,1,1,7746,3872
3385,6.0551e+07,2,-0.001918,-0.00089151,0.0013547,-0.22732,-0.11171,-9.8161,0,0,36.75,1,1,7746,3872
3389,6.0554e+07,2,-0.0023249,-0.0015575,0.0020677,-0.22758,-0.1119,-9.8133,0,0,36.75,1,1,7746,3872
3392,6.0556e+07,2,-0.0021611,-0.0022846,0.001917,-0.22772,-0.11134,-9.8112,0,0,36.75,1,1,7746,3872
3423,6.0558e+07,2,-0.0011911,-0.002614,0.0016373,-0.22838,-0.10664,-9.8056,0,0,36.75,1,1,7746,3872
3426,6.0562e+07,2,0.00012148,-0.0023192,0.0017594,-0.22865,-0.10268,-9.8048,0,0,36.75,1,1,7746,3872
3430,6.0566e+07,2,0.0017749,-0.0019826,0.00028842,-0.23026,-0.096595,-9.8131,0,0,36.75,1,1,7746,3872
3461,6.0569e+07,2,0.0010574,-0.0015071,-2.4716e-05,-0.2307,-0.097465,-9.8192,0,0,36.75,1,1,7746,3872
