LineNo,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
5459,61077258,0,1.66,-1.14,16.39,-0.001492816,0.0001681594,-0.5716836,-0.4407156,1.525068,0.06449019,-0.3167259,-0.01,0,-0.12,90.33
5500,61086974,0,1.66,-1.14,16.39,-0.001519499,0.0001515709,-0.5711342,-0.4345445,1.525068,0.06449019,-0.3203254,-0.01,0,-0.12,90.33
5540,61097937,0,1.66,-1.14,16.39,-0.001581891,0.0002425406,-0.5712523,-0.4263939,1.525068,0.06449019,-0.326031,-0.01,0,-0.12,90.33
5582,61107971,0,1.66,-1.14,16.39,-0.00160559,0.0002666345,-0.5705953,-0.419248,1.525068,0.06449019,-0.3297054,-0.01,0,-0.12,90.33
5622,61118360,0,1.67,-1.14,16.38,-0.001392146,-1.580842e-05,-0.569964,-0.4129097,1.525068,0.06449019,-0.3340223,-0.01,0,-0.12,90.33
5670,61128309,0,1.67,-1.14,16.38,-0.001408578,-0.000198557,-0.5699173,-0.4085353,1.525068,0.06449019,-0.3378467,-0.01,0,-0.12,90.33
5710,61138954,0,1.67,-1.14,16.38,-0.001261119,-0.0004678581,-0.5695808,-0.4041068,1.525068,0.06449019,-0.3417484,-0.01,0,-0.12,90.33
5751,61149071,0,1.66,-1.14,16.38,-0.001306051,-0.0004835492,-0.5695505,-0.4010053,1.525068,0.06449019,-0.3474375,-0.01,0,-0.12,90.33
5792,61158995,0,1.66,-1.14,16.38,-0.001300052,-0.0003569752,-0.5691912,-0.3995633,1.525068,0.06449019,-0.3513993,-0.01,0,-0.12,90.33
5832,61169419,0,1.66,-1.14,16.38,-0.00118514,-0.0003371325,-0.5685789999999999,-0.3948673,1.525068,0.06449019,-0.3549483,-0.01,0,-0.12,90.33
5870,61180139,0,1.66,-1.14,16.38,-0.001295614,-0.0003586036,-0.5682221,-0.389492,1.525068,0.06449019,-0.3586031,-0.01,0,-0.12,90.33
5910,61190170,0,1.66,-1.14,16.38,-0.00123132,-0.0005221727999999999,-0.5676146,-0.3837295,1.525068,0.06449019,-0.3617924,-0.01,0,-0.12,90.33
5950,61199976,0,1.66,-1.14,16.38,-0.001040283,-0.0004415648,-0.5670613,-0.3794565,1.525068,0.06449019,-0.3650746,-0.01,0,-0.12,90.33
5992,61210915,0,1.66,-1.14,16.38,-0.001141236,-0.0002539658,-0.5671874,-0.3733882,1.525068,0.06449019,-0.3707395,-0.01,0,-0.12,90.33
6032,61221145,0,1.66,-1.14,16.38,-0.001182058,-0.0001622336,-0.5665658,-0.36852,1.525068,0.06449019,-0.3746742,-0.01,0,-0.12,90.33
6079,61231068,0,1.66,-1.14,16.38,-0.001108339,-2.281413e-05,-0.5662311,-0.365956,1.491673,0.07255146,-0.3781307,-0.01,0,-0.12,90.33
6119,61241029,0,1.66,-1.14,16.38,-0.001057529,9.060693e-05,-0.5660595,-0.3643786,1.491673,0.07255146,-0.3816776,-0.01,0,-0.12,90.33
6160,61251100,0,1.66,-1.14,16.38,-0.0009744265,5.640248e-05,-0.5657225,-0.3647043,1.491673,0.07255146,-0.3853046,-0.01,0,-0.12,90.33
6200,61261009,0,1.66,-1.14,16.38,-0.0009085874,-4.977426e-05,-0.5657188,-0.3637565,1.491673,0.07255146,-0.3909557,-0.01,0,-0.12,90.33
6241,61273867,0,1.66,-1.14,16.38,-0.0009345984000000001,-8.596695e-05,-0.5654876,-0.3646757,1.491673,0.07255146,-0.3957897,-0.01,0,-0.12,90.33
6279,61284081,0,1.67,-1.14,16.37,-0.001040872,-0.0001825856,-0.5650029,-0.3633796,1.491673,0.07255146,-0.3991858,-0.01,0,-0.12,90.33
6321,61294529,0,1.67,-1.14,16.37,-0.0009117097,-0.0002074994,-0.5643252,-0.3592346,1.491673,0.07255146,-0.4021343,-0.01,0,-0.12,90.33
6364,61304595,0,1.67,-1.14,16.37,-0.001049573,-0.0001898899,-0.5637777,-0.3551427,1.491673,0.07255146,-0.405189,-0.01,0,-0.12,90.33
6404,61314492,0,1.67,-1.14,16.37,-0.001063311,-0.0002194968,-0.5631623,-0.352682,1.491673,0.07255146,-0.4083423,-0.01,0,-0.12,90.33
6445,61325073,0,1.66,-1.14,16.37,-0.001219484,-0.0004621448,-0.5625966999999999,-0.3512947,1.491673,0.07255146,-0.4127139,-0.01,0,-0.12,90.33
6490,61335310,0,1.66,-1.14,16.37,-0.001308017,-0.0004529991,-0.5624274,-0.3493075,1.491673,0.07255146,-0.4183329,-0.01,0,-0.12,90.33
6530,61345938,0,1.66,-1.14,16.37,-0.001279028,-0.0004426869,-0.5618647,-0.3489669,1.491673,0.07255146,-0.4216644,-0.01,0,-0.12,90.33
6572,61355574,0,1.66,-1.14,16.36,-0.001356806,-0.000365041,-0.5613871,-0.349267,1.491673,0.07255146,-0.4250863,-0.01,0,-0.12,90.33
6612,61365574,0,1.66,-1.14,16.36,-0.001301064,-0.0004432693,-0.5609041,-0.35133,1.491673,0.07255146,-0.4285919,-0.01,0,-0.12,90.33
6653,61381865,0,1.66,-1.14,16.36,-0.001319789,-0.0004118411,-0.5603928,-0.351836,1.491673,0.07255146,-0.4342581,-0.01,0,-0.11,90.33
6694,61391809,0,1.66,-1.14,16.36,-0.0013767,-0.0003072185,-0.5594937,-0.3501978,1.491673,0.07255146,-0.4366954,-0.01,0,-0.11,90.33
6736,61402138,0,1.66,-1.14,16.36,-0.001390925,-0.0002301493,-0.5588104,-0.3471374,1.491673,0.07255146,-0.4398146,-0.01,0,-0.11,90.33
6777,61412913,0,1.66,-1.13,16.36,-0.001248183,-0.0002576402,-0.5588193,-0.341196,1.491673,0.07255146,-0.4453968,-0.01,0,-0.11,90.33
6817,61422904,0,1.66,-1.13,16.35,-0.001275465,-0.0002502297,-0.5583169,-0.3365734,1.491673,0.07255146,-0.4480695,-0.01,0,-0.11,90.33
6860,61432916,0,1.66,-1.13,16.35,-0.001195374,-0.0001035434,-0.5580262,-0.3324448,1.458277,0.08061272999999999,-0.4508612,-0.01,0,-0.11,90.33
