LineNo,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
2813,1.1937e+08,0,0.00092046,0.0030089,-0.00032072,0.024539,0.089046,-9.7723,0,0,44.842,1,1,8008,4004
2816,1.1937e+08,0,0.00089572,0.0029007,0.00027748,0.028252,0.089226,-9.7678,0,0,44.842,1,1,8008,4004
2819,1.1937e+08,0,-0.00031388,0.0019083,0.0013643,0.031145,0.087107,-9.7582,0,0,44.842,1,1,8008,4004
2854,1.1938e+08,0,-0.0022086,0.0012102,0.0014247,0.031718,0.087988,-9.7515,0,0,44.842,1,1,8008,4004
2857,1.1938e+08,0,-0.0025262,0.0008316,0.0016072,0.031953,0.090441,-9.7484,0,0,44.842,1,1,8008,4004
2861,1.1938e+08,0,-0.0017128,0.00067712,0.0019603,0.032652,0.09194,-9.7457,0,0,44.842,1,1,8008,4004
2865,1.1938e+08,0,-0.0018589,-0.0013275,0.00091293,0.031677,0.093369,-9.7414,0,0,44.841,1,1,8008,4004
2900,1.1939e+08,0,-0.0023387,-0.0014621,0.00038824,0.030584,0.094903,-9.7414,0,0,44.841,1,1,8008,4004
2903,1.1939e+08,0,-0.0021839,-0.001538,0.00038448,0.030216,0.099298,-9.7476,0,0,44.841,1,1,8008,4004
2906,1.1939e+08,0,-0.0018102,-0.0022758,0.00025079,0.031374,0.10142,-9.7517,0,0,44.841,1,1,8008,4004
2909,1.1939e+08,0,-0.0018835,-0.0030622,-0.00030422,0.031508,0.10105,-9.7555,0,0,44.841,1,1,8008,4004
2944,1.194e+08,0,-0.0039057,-0.0017129,0.00018316,0.033934,0.095045,-9.7545,0,0,44.841,1,1,8008,4004
2948,1.194e+08,0,-0.004356,-0.0013465,0.0010733,0.037357,0.091918,-9.7521,0,0,44.841,1,1,8008,4004
2952,1.194e+08,0,-0.0046916,-0.00084528,0.0013394,0.039265,0.088408,-9.7504,0,0,44.841,1,1,8008,4004
2955,1.194e+08,0,-0.0045634,-0.00024033,0.0012683,0.03946,0.084758,-9.7496,0,0,44.841,1,1,8008,4004
2990,1.1941e+08,0,-0.0050537,-0.0015108,0.0010569,0.038461,0.082598,-9.749,0,0,44.841,1,1,8008,4004
2995,1.1941e+08,0,-0.0059381,-0.0027033,0.00042892,0.032914,0.080987,-9.7519,0,0,44.841,1,1,8008,4004
2998,1.1941e+08,0,-0.0055341,-0.0019022,1.2281e-05,0.027039,0.083408,-9.7547,0,0,44.841,1,1,8008,4004
3001,1.1942e+08,0,-0.0030526,-0.00051527,-0.0016669,0.020046,0.096333,-9.7488,0,0,44.84,1,1,8008,4004
