TimeUS,RPM,Curr,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,Guasto
90958319,6331,3.94,-1.57,-3.36,-2.35,-2.13,8.32,9.45,-0.07978088,0.1301847,0.04049956,-0.336305,0.8699999,-9.508744,2
91059029,6230,4.04,-1.46,-3.3,-2.15,-1.9,8.31,9.4,0.04621983,0.1132469,-0.0462404,-0.3377131,0.7441655,-9.789852,2
91171248,6298,4.04,-1.18,-3.01,-2.06,-1.71,8.31,9.24,0.1293573,-0.02073866,-0.03513717,-0.3592021,0.7313018,-9.45214,2
91281987,6282,4.04,-0.97,-2.53,-2.16,-1.22,8.31,9.0,0.08257335,0.07513588,-0.03505464,-0.07309075,0.7374865,-9.607337,2
91388290,6258,4.12,-0.78,-2.01,-2.24,-1.25,8.31,8.77,0.02424464,-0.01472004,-0.03824298,-0.09176898,0.6023735,-9.903624,2
91499045,6271,3.74,-0.67,-1.91,-2.35,-1.43,8.31,8.67,-0.09800787,-0.004492925,-0.01213772,-0.5562602,0.6888712,-9.842015,2
91600776,6289,4.02,-0.73,-1.96,-2.43,-1.84,8.31,8.65,-0.006393379,-0.1332507,-0.02972991,-0.2900195,0.5373439,-9.66462,2
91710582,6361,3.76,-0.74,-2.2,-2.44,-2.19,8.31,8.66,0.08847339,-0.06152034,-0.01302028,-0.3031008,0.7548739,-9.629467,2
91820005,6212,3.89,-0.78,-2.28,-2.27,-2.34,8.31,8.78,-0.0648332799999999,0.01002653,-0.01186158,-0.2027175,0.7740208,-10.04645,2
91926412,6204,4.46,-0.92,-1.75,-1.98,-2.53,8.31,8.92,0.2191398,-0.02607707,0.01677324,-0.2924926,0.6053113,-10.16139,2
92041194,6405,4.62,-1.13,-1.58,-1.79,-2.41,8.3,9.13,-0.0979622899999999,0.02354174,0.04145994,-0.2363053,0.7174587,-10.51293,2
92255053,6459,4.31,-1.51,-1.45,-1.69,-2.06,8.3,9.37,-0.03188058,-0.09545771,-0.0007933104,-0.07063897,0.6335132,-10.60345,2
92366842,6574,4.26,-1.84,-1.55,-1.92,-2.81,8.31,9.25,0.0010433,-0.06739351,-0.02679945,-0.330086,0.6148962,-10.14409,2
92475956,6629,4.16,-2.27,-2.03,-1.69,-2.85,8.3,9.01,0.04025351,0.04376049,-0.07141931,-0.1221136,0.6827129,-9.804348,2
92584500,6516,4.25,-3.46,-2.99,-1.06,-1.9,8.27,8.65,-0.2727697,0.2129633,-0.0284896,-0.2036922,0.7187667,-9.745559,2
92692180,6538,3.86,-4.88,-4.68,-0.68,-0.8,8.24,8.14,-0.1904244,0.126142,-0.09921986,-0.1944294,0.5641611,-9.960285,2
92800173,6481,3.82,-6.39,-6.66,-0.5,-0.34,8.23,7.66,-0.3312781,0.04420323,-0.061742,-0.406638,0.6479779,-10.04614,2
92911799,6308,3.75,-7.23,-8.44,-0.53,-0.43,8.23,7.33,-0.1980937,-0.04028448,-0.04359291,-0.1633012,0.8900068,-9.548615,2
93022882,6242,3.9,-7.53,-8.75,-0.65,-0.63,8.24,7.21,0.07404649,-0.02930736,0.0098598,-0.133313,0.7977805,-10.18979,2
