TimeUS,RPM,Curr,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,Guasto
70978221,6083,3.3,-1.82,-2.45,-3.58,-3.3,357.36,354.38,0.1964459,-0.05714646,-0.04525089,-0.3327328,0.5626011,-9.249186,1
71092258,6057,3.27,-1.12,-1.2,-3.26,-3.63,357.35,354.12,0.1840322,-0.04845029,-0.03299525,-0.5932941,0.7383373,-9.887705,1
71313385,6069,3.07,-0.28,0.27,-2.22,-4.01,357.33,354.24,0.1588573,-0.05085623,0.04618967,-0.5996131,0.625682,-9.888161,1
71426080,5963,3.46,0.23,0.71,-1.52,-3.37,357.34,354.76,0.06485224,0.0637906,0.09268637,-0.5195276,0.6109201,-9.784765,1
71529261,6062,3.63,0.34,0.86,-0.99,-2.66,357.34,355.39,-0.04829917,0.160302,0.1116483,-0.4686119,0.6199691,-10.31436,1
71631700,6132,3.79,0.17,0.7,-0.6,-2.03,357.34,356.16,-0.06194377,0.06138808,0.1535092,-0.3247344,0.7657103,-9.5828,1
71747690,6233,3.89,-0.61,0.32,-0.35,-1.25,357.34,356.9,-0.1475151,0.2018399,0.08574226,-0.4973073,0.5209723,-10.10328,1
71964466,6289,3.69,-3.96,-2.7,-0.68,-0.93,357.36,357.65,-0.337429,-0.1573129,0.03996899,-0.5209532,0.5095252,-9.670848,1
72063002,6415,4.31,-5.33,-4.81,-1.15,-1.63,357.4,357.84,-0.3919995,-0.08627068,0.01119125,-0.2872219,0.9552317,-9.938904,1
72181627,6462,3.73,-6.38,-6.4,-2.32,-3.33,357.52,357.97,-0.1890423,-0.1627446,-0.03646255,-0.6005042,0.6461219,-10.17355,1
72393701,6227,3.79,-6.58,-7.4,-4.23,-5.15,357.74,358.01,-0.03308162,0.01186922,-0.02557945,-0.4206271,0.732694,-9.706244,1
72502100,6219,3.9,-6.39,-7.53,-4.72,-5.21,357.79,357.94,-0.03973625,0.02657238,-0.0007034726,-0.5990764,0.8895724,-9.64215,1
72608119,6273,4.13,-6.21,-7.26,-5.09,-4.73,357.83,357.93,0.1451659,0.07941098,0.03479707,-0.4958652,0.5833926,-9.862824,1
72721788,6403,3.85,-6.68,-7.01,-4.95,-4.33,357.82,358.19,0.1629898,-0.04598388,0.06667762,-0.7299356,0.6301615,-10.13104,1
72830190,6292,3.88,-7.4,-7.34,-4.81,-4.05,357.8,358.51,0.05498285,-0.0912768199999999,0.04668949,-0.5436231,0.6292754,-10.04731,1
72938738,6214,4.08,-8.15,-7.96,-4.72,-3.84,357.79,358.72,-0.08054482,-0.02558237,0.02427166,-0.4386137,1.116478,-9.298386,1
73049560,6214,4.0,-8.64,-8.15,-4.71,-4.03,357.79,358.79,-1.169823e-05,-0.0770205999999999,-0.01471374,-0.4784155,0.9397085,-9.876021,1
73161082,6220,3.61,-8.94,-7.92,-4.56,-4.41,357.76,358.79,-0.0001698786,0.05432003,0.002082883,-0.6013082,0.8948112,-9.826432,1
73268279,6272,3.42,-9.08,-7.69,-4.28,-4.87,357.72,358.81,0.0954652099999999,-0.08958315,-0.002420602,-0.4289188,0.9231281,-9.424189,1
73380482,6106,3.95,-9.29,-7.41,-4.0,-4.44,357.67,358.52,-0.008219391,0.0993286,-0.04153253,-0.8254375,0.7309138,-10.48063,1
73484379,6204,3.52,-8.96,-7.41,-3.87,-3.94,357.65,358.14,-0.0821386,0.0368741,-0.06226103,-0.1949502,0.8599432,-9.403189,1
73590142,6271,3.72,-8.39,-7.9,-3.77,-3.82,357.64,357.78,-0.1775547,-0.0582199,-0.05601702,-0.7225251,1.023373,-9.178425,1
73713465,6298,4.63,-7.9,-8.45,-3.11,-3.87,357.54,357.58,-0.06353401,0.1956749,-0.009720803,-1.002069,0.8585902,-9.7889,1
73806474,6415,4.5,-7.34,-8.13,-2.38,-3.06,357.45,357.36,0.1184146,0.1923345,-0.006925113,-0.8842093,0.9984349,-10.18236,1
73921382,6475,4.4,-6.83,-6.79,-1.89,-1.96,357.38,357.08,0.1209457,0.228633,-0.01631462,-0.9175699,1.185767,-10.18435,1
74035223,6429,4.84,-6.24,-6.44,-1.98,-1.11,357.39,356.91,0.07453947,0.01449773,-0.0003687722,-0.3753406,0.9812213,-10.02758,1
74136587,6722,4.61,-5.87,-6.18,-2.14,-1.21,357.41,356.99,0.1661105,-0.1621095,0.01859678,-0.6269436,1.104684,-9.839637,1
74243278,6645,4.58,-5.65,-5.9,-2.4,-2.03,357.44,357.21,0.1546603,-0.2058326,0.004576072,-0.4855388,0.7481421,-9.647131,1
74466074,6545,5.13,-5.06,-5.97,-2.77,-1.55,357.47,357.52,-0.0645677999999999,0.0648876199999999,0.06820181,-0.6896006,0.7077597,-10.40989,1
74671479,6925,4.71,-5.45,-6.67,-2.66,-1.96,357.46,358.47,-0.02531558,-0.05739679,0.05463509,-0.5582637,1.018319,-9.939201,1
74793619,6572,4.83,-5.53,-6.84,-2.44,-2.4,357.44,358.85,0.04650547,-0.0776426,0.04712319,-0.4192758,0.9407137,-10.24004,1
74885578,6583,4.34,-4.62,-6.02,-2.3,-2.34,357.43,358.83,0.2905754,0.02276792,-0.004680239,-0.2963563,0.8564859,-9.664131,1
75110668,6509,4.08,-2.72,-2.87,-1.87,-2.87,357.4,358.32,0.1807001,-0.104254,-0.06823079,-0.4067548,0.5806869,-9.616127,1
75222488,6321,3.86,-2.47,-2.32,-1.51,-2.87,357.39,357.94,0.09818503,-0.02616175,-0.05640886,-0.3107153,0.6917402,-9.469486,1
75332116,6256,3.96,-2.57,-2.25,-1.2,-2.4,357.37,357.57,-0.1413956,0.1797909,-0.0467374,-0.5548091,0.7675477,-9.431151,1
75442574,6240,3.89,-2.68,-2.26,-1.02,-1.88,357.36,357.32,0.0003792589,-4.621555e-05,-0.02831146,-0.3741749,0.7116795,-9.526489,1
75654268,6226,3.94,-3.15,-2.8,-0.78,-1.13,357.35,356.87,-0.3101562,0.1904834,-0.01841441,-0.6956512,0.7153786,-9.670817,1
75767208,6192,3.77,-3.36,-3.53,-0.62,-1.21,357.34,356.94,-0.1761121,0.02165856,0.009074989,-0.3668679,0.8715088,-9.394953,1
75876052,6367,3.59,-3.66,-3.54,-0.49,-1.3,357.33,357.01,0.04834917,0.02935139,-0.01987221,-0.3698565,1.016005,-9.659516,1
75989177,6101,2.96,-4.42,-3.0,0.37,-1.34,357.27,357.1,-0.004939082,0.03149254,0.03203162,-0.3604328,0.7426237,-9.714805,1
76099345,5909,3.22,-5.71,-3.7,2.15,-0.29,357.12,357.28,-0.1912772,0.2174005,0.03481911,-0.2544813,0.9348526,-9.542493,1
76202811,5868,3.7,-6.6,-5.15,3.26,1.49,357.0,357.55,-0.1158511,0.22897,0.05474034,-0.1908484,1.175656,-9.21281,1
76312021,6018,3.86,-7.22,-6.32,3.86,2.75,356.92,357.87,-0.08678393,0.06975856,0.02975141,0.315383,0.8828496,-9.289828,1
76534261,6084,3.36,-7.12,-5.99,3.12,2.32,357.02,358.78,-0.02069894,-0.09971805,0.04160159,-0.2002611,0.9324715,-9.679183,1
76643101,6059,3.38,-6.89,-5.42,2.51,1.39,357.09,359.1,0.1590395,-0.1085766,0.03710329,-0.2374348,0.7765117,-9.568383,1
76747039,6102,3.49,-6.83,-5.17,2.12,0.92,357.14,359.16,0.002404859,-0.09892193,-0.003983959,-0.3097574,0.9220186,-9.237962,1
76863946,6138,3.57,-6.78,-5.35,1.87,0.86,357.17,359.12,-0.01556249,-0.09611864,-0.01568089,-0.1724327,0.7688992,-9.197599,1
76961885,6242,4.09,-6.7,-5.61,1.66,1.0,357.19,358.84,-0.1055998,0.008784925,-0.02516573,-0.6096585,0.8369843,-9.810007,1
77070600,6241,3.97,-6.5,-5.55,1.22,1.3,357.24,358.56,-0.05469014,0.09558802,-0.0238773,-0.3638245,0.8285647,-10.46177,1
77186693,6223,3.93,-6.14,-5.12,0.83,1.04,357.29,358.48,0.0001840751,-0.04777869,0.005718338,-0.1954038,0.8680313,-10.1014,1
