LineNo,TimeUS,LiftMax,BatVolt,ThLimit,ThrAvMx,FailFlags
15202,1.8809e+07,0.89746,0.93548,1,0.020911,2
15245,1.8819e+07,0.89747,0.93549,1,0.020911,2
15286,1.8829e+07,0.89748,0.9355,1,0.020911,2
15328,1.8839e+07,0.8975,0.93551,1,0.020911,2
15368,1.8849e+07,0.89751,0.93551,1,0.020911,2
15403,1.8859e+07,0.89752,0.93552,1,0.020911,2
15444,1.8869e+07,0.89753,0.93553,1,0.020911,2
15484,1.8879e+07,0.89754,0.93554,1,0.020911,2
15525,1.8889e+07,0.89755,0.93554,1,0.020911,2
15567,1.89e+07,0.89756,0.93555,1,0.020911,2
15610,1.891e+07,0.89757,0.93556,1,0.020911,2
15652,1.892e+07,0.89755,0.93554,1,0.020911,2
15692,1.893e+07,0.89754,0.93553,1,0.020911,2
15736,1.894e+07,0.89752,0.93552,1,0.020911,2
15777,1.8953e+07,0.8975,0.93551,1,0.020911,2
15818,1.8963e+07,0.89748,0.9355,1,0.020911,2
15855,1.8973e+07,0.89747,0.93549,1,0.020911,2
15896,1.8983e+07,0.89746,0.93548,1,0.020911,2
15939,1.8993e+07,0.89744,0.93547,1,0.020911,2
15979,1.9003e+07,0.89743,0.93546,1,0.020911,2
16025,1.9013e+07,0.89742,0.93546,1,0.020911,2
16065,1.9023e+07,0.89742,0.93546,1,0.020911,2
16106,1.9033e+07,0.89743,0.93546,1,0.020911,2
16149,1.9043e+07,0.89744,0.93547,1,0.020911,2
16186,1.9055e+07,0.89744,0.93547,1,0.020911,2
16227,1.9066e+07,0.89745,0.93548,1,0.020911,2
16267,1.9076e+07,0.89745,0.93548,1,0.020911,2
16308,1.9085e+07,0.89746,0.93548,1,0.020911,2
16350,1.9095e+07,0.89746,0.93549,1,0.020911,2
16391,1.9106e+07,0.89747,0.93549,1,0.020911,2
16436,1.9116e+07,0.89747,0.93549,1,0.020911,2
16476,1.9126e+07,0.89747,0.93549,1,0.020911,2
16518,1.9136e+07,0.89747,0.93549,1,0.020911,2
16561,1.9146e+07,0.89747,0.93549,1,0.020911,2
16602,1.9161e+07,0.89748,0.93549,1,0.020911,2
16642,1.9172e+07,0.89748,0.93549,1,0.020911,2
16684,1.9182e+07,0.89748,0.9355,1,0.020911,2
16725,1.9192e+07,0.89748,0.9355,1,0.020911,2
16765,1.9202e+07,0.89748,0.9355,1,0.020911,2
16809,1.9212e+07,0.89748,0.9355,1,0.020911,2
16850,1.9222e+07,0.8975,0.93551,1,0.020911,2
16892,1.9233e+07,0.89751,0.93552,1,0.020911,2
16933,1.9243e+07,0.89753,0.93553,1,0.020911,2
16973,1.9253e+07,0.89754,0.93553,1,0.020911,2
17011,1.9266e+07,0.89756,0.93554,1,0.020911,2
17056,1.9278e+07,0.89757,0.93556,1,0.020911,2
17097,1.9288e+07,0.89758,0.93556,1,0.020911,2
17138,1.9298e+07,0.8976,0.93557,1,0.020911,2
17178,1.9308e+07,0.89761,0.93558,1,0.020911,2
17226,1.9321e+07,0.8976,0.93558,1,0.020911,2
17270,1.9331e+07,0.89759,0.93557,1,0.020911,2
17310,1.9341e+07,0.89758,0.93556,1,0.020911,2
17351,1.9354e+07,0.89757,0.93556,1,0.020911,2
17388,1.9364e+07,0.89756,0.93555,1,0.020911,2
17429,1.9374e+07,0.89755,0.93554,1,0.020911,2
17472,1.9383e+07,0.89754,0.93554,1,0.020911,2
17512,1.9393e+07,0.89754,0.93553,1,0.020911,2
17554,1.9404e+07,0.89753,0.93553,1,0.020911,2
17597,1.9414e+07,0.89752,0.93552,1,0.020911,2
17639,1.9423e+07,0.89752,0.93552,1,0.020911,2
17679,1.9434e+07,0.89753,0.93553,1,0.020911,2
17720,1.9444e+07,0.89754,0.93553,1,0.020911,2
17761,1.9456e+07,0.89754,0.93554,1,0.020911,2
17802,1.9467e+07,0.89755,0.93554,1,0.020911,2
17843,1.9477e+07,0.89755,0.93554,1,0.020911,2
17885,1.9486e+07,0.89756,0.93555,1,0.020911,2
17927,1.9496e+07,0.89756,0.93555,1,0.020911,2
17968,1.9506e+07,0.89757,0.93555,1,0.020911,2
18013,1.9517e+07,0.89757,0.93555,1,0.020911,2
18056,1.9527e+07,0.89757,0.93556,1,0.020911,2
18096,1.9536e+07,0.89758,0.93556,1,0.020911,2
18137,1.9547e+07,0.89758,0.93556,1,0.020911,2
18177,1.956e+07,0.89759,0.93557,1,0.020911,2
18219,1.957e+07,0.89759,0.93557,1,0.020911,2
18260,1.958e+07,0.89759,0.93557,1,0.020911,2
18297,1.959e+07,0.8976,0.93557,1,0.020911,2
18339,1.96e+07,0.8976,0.93557,1,0.020911,2
18380,1.961e+07,0.8976,0.93558,1,0.020911,2
18426,1.962e+07,0.89761,0.93558,1,0.020911,2
18467,1.963e+07,0.89761,0.93558,1,0.020911,2
18507,1.964e+07,0.89761,0.93558,1,0.020911,2
18548,1.965e+07,0.89761,0.93558,1,0.020911,2
18588,1.966e+07,0.89761,0.93558,1,0.020911,2
18624,1.967e+07,0.89761,0.93558,1,0.020911,2
18666,1.968e+07,0.89761,0.93558,1,0.020911,2
18706,1.969e+07,0.89761,0.93558,1,0.020911,2
18747,1.97e+07,0.89761,0.93558,1,0.020911,2
18790,1.971e+07,0.89761,0.93558,1,0.020911,2
18834,1.972e+07,0.89761,0.93558,1,0.020911,2
18876,1.973e+07,0.89761,0.93558,1,0.020911,2
18917,1.974e+07,0.89761,0.93558,1,0.020911,2
18957,1.975e+07,0.89761,0.93558,1,0.020911,2
18999,1.976e+07,0.89761,0.93558,1,0.020911,2
19037,1.977e+07,0.89761,0.93558,1,0.020911,2
19077,1.978e+07,0.89761,0.93558,1,0.020911,2
19118,1.9791e+07,0.89761,0.93558,1,0.020911,2
19158,1.98e+07,0.89761,0.93558,1,0.020911,2
19201,1.9811e+07,0.89761,0.93558,1,0.020911,2
19247,1.9821e+07,0.89761,0.93558,1,0.020911,2
19288,1.983e+07,0.8976,0.93557,1,0.020911,2
19329,1.9841e+07,0.89759,0.93557,1,0.020911,2
19369,1.985e+07,0.89758,0.93556,1,0.020911,2
19411,1.9863e+07,0.89757,0.93555,1,0.020911,2
19451,1.9873e+07,0.89756,0.93555,1,0.020911,2
19492,1.9883e+07,0.89755,0.93554,1,0.020911,2
19533,1.9893e+07,0.89755,0.93554,1,0.020911,2
19574,1.9903e+07,0.89754,0.93553,1,0.020911,2
19622,1.9915e+07,0.89753,0.93553,1,0.020911,2
19663,1.9925e+07,0.89754,0.93553,1,0.020911,2
19706,1.9935e+07,0.89754,0.93554,1,0.020911,2
19747,1.9945e+07,0.89755,0.93554,1,0.020911,2
19785,1.9955e+07,0.89755,0.93554,1,0.020911,2
19823,1.9965e+07,0.89756,0.93555,1,0.020911,2
19864,1.9976e+07,0.89756,0.93555,1,0.020911,2
19907,1.9985e+07,0.89756,0.93555,1,0.020911,2
19947,1.9996e+07,0.89757,0.93555,1,0.020911,2
19989,2.0005e+07,0.89757,0.93556,1,0.020911,2
20033,2.0015e+07,0.89758,0.93556,1,0.020911,2
20075,2.0026e+07,0.89756,0.93555,1,0.020911,2
20116,2.0035e+07,0.89754,0.93554,1,0.020911,2
20156,2.0046e+07,0.89753,0.93553,1,0.020911,2
20197,2.0055e+07,0.89751,0.93551,1,0.020911,2
20232,2.0065e+07,0.89749,0.9355,1,0.020911,2
20273,2.0075e+07,0.89748,0.93549,1,0.020911,2
20314,2.0085e+07,0.89746,0.93548,1,0.020911,2
20354,2.0096e+07,0.89745,0.93548,1,0.020911,2
