LineNo,TimeUS,I,MagX,MagY,MagZ,OfsX,OfsY,OfsZ,MOX,MOY,MOZ,Health,S
1.1229e+05,4.2069e+07,0,180,-48,351,43,-7,144,0,0,0,1,4.2069e+07
1.1273e+05,4.2175e+07,0,181,-46,354,43,-7,144,0,0,0,1,4.2175e+07
1.1315e+05,4.2279e+07,0,185,-49,353,43,-7,144,0,0,0,1,4.2279e+07
1.136e+05,4.2386e+07,0,179,-47,348,43,-7,144,0,0,0,1,4.2386e+07
1.1401e+05,4.2491e+07,0,185,-51,350,43,-7,144,0,0,0,1,4.2491e+07
1.1445e+05,4.2597e+07,0,180,-51,357,43,-7,144,0,0,0,1,4.2597e+07
1.149e+05,4.2703e+07,0,182,-48,356,43,-7,144,0,0,0,1,4.2702e+07
1.1531e+05,4.2808e+07,0,178,-48,355,43,-7,144,0,0,0,1,4.2808e+07
1.1576e+05,4.2915e+07,0,178,-47,354,43,-7,144,0,0,0,1,4.2915e+07
1.1618e+05,4.302e+07,0,178,-48,355,43,-7,144,0,0,0,1,4.302e+07
1.1662e+05,4.3125e+07,0,180,-48,355,43,-7,144,0,0,0,1,4.3125e+07
1.1707e+05,4.323e+07,0,180,-55,348,43,-7,144,0,0,0,1,4.323e+07
1.1752e+05,4.3334e+07,0,184,-57,350,43,-7,144,0,0,0,1,4.3334e+07
1.1796e+05,4.3439e+07,0,186,-62,347,43,-7,144,0,0,0,1,4.3439e+07
1.1838e+05,4.3543e+07,0,176,-61,351,43,-7,144,0,0,0,1,4.3543e+07
1.1882e+05,4.3648e+07,0,176,-57,355,43,-7,144,0,0,0,1,4.3648e+07
1.1927e+05,4.3754e+07,0,176,-54,351,43,-7,144,0,0,0,1,4.3754e+07
1.1972e+05,4.3859e+07,0,182,-56,350,43,-7,144,0,0,0,1,4.3859e+07
1.2016e+05,4.3964e+07,0,176,-55,355,43,-7,144,0,0,0,1,4.3964e+07
1.2061e+05,4.4067e+07,0,178,-50,353,43,-7,144,0,0,0,1,4.4067e+07
1.2106e+05,4.4172e+07,0,183,-57,348,43,-7,144,0,0,0,1,4.4172e+07
1.2147e+05,4.4276e+07,0,184,-60,354,43,-7,144,0,0,0,1,4.4276e+07
1.2192e+05,4.4382e+07,0,182,-72,344,43,-7,144,0,0,0,1,4.4382e+07
1.2236e+05,4.4487e+07,0,182,-72,346,43,-7,144,0,0,0,1,4.4486e+07
1.2281e+05,4.4592e+07,0,186,-66,343,43,-7,144,0,0,0,1,4.4592e+07
1.2325e+05,4.4696e+07,0,198,-58,342,43,-7,144,0,0,0,1,4.4696e+07
1.237e+05,4.48e+07,0,200,-58,342,43,-7,144,0,0,0,1,4.48e+07
1.2412e+05,4.4904e+07,0,200,-67,338,43,-7,144,0,0,0,1,4.4904e+07
1.2457e+05,4.501e+07,0,197,-60,338,43,-7,144,0,0,0,1,4.501e+07
1.2501e+05,4.5114e+07,0,191,-59,341,43,-7,144,0,0,0,1,4.5113e+07
1.2546e+05,4.5219e+07,0,194,-62,344,43,-7,144,0,0,0,1,4.5219e+07
1.2584e+05,4.5324e+07,0,181,-68,350,43,-7,144,0,0,0,1,4.5324e+07
1.2629e+05,4.5429e+07,0,177,-67,352,43,-7,144,0,0,0,1,4.5429e+07
1.2674e+05,4.5535e+07,0,177,-62,350,43,-7,144,0,0,0,1,4.5535e+07
1.2718e+05,4.564e+07,0,178,-57,355,43,-7,144,0,0,0,1,4.564e+07
1.276e+05,4.5745e+07,0,173,-65,354,43,-7,144,0,0,0,1,4.5745e+07
1.2804e+05,4.585e+07,0,166,-72,355,43,-7,144,0,0,0,1,4.585e+07
1.2849e+05,4.5957e+07,0,171,-84,356,43,-7,144,0,0,0,1,4.5956e+07
1.2894e+05,4.6062e+07,0,174,-80,347,43,-7,144,0,0,0,1,4.6062e+07
1.2935e+05,4.6167e+07,0,177,-91,346,43,-7,144,0,0,0,1,4.6167e+07
1.298e+05,4.6274e+07,0,177,-92,351,43,-7,144,0,0,0,1,4.6274e+07
1.3025e+05,4.6379e+07,0,180,-77,351,43,-7,144,0,0,0,1,4.6379e+07
1.3069e+05,4.6485e+07,0,182,-71,349,43,-7,144,0,0,0,1,4.6485e+07
1.3111e+05,4.659e+07,0,184,-72,349,43,-7,144,0,0,0,1,4.659e+07
1.3155e+05,4.6695e+07,0,181,-71,342,43,-7,144,0,0,0,1,4.6695e+07
1.319e+05,4.68e+07,0,183,-59,350,43,-7,144,0,0,0,1,4.68e+07
1.3234e+05,4.6903e+07,0,183,-37,350,43,-7,144,0,0,0,1,4.6903e+07
1.3278e+05,4.7009e+07,0,174,-37,355,43,-7,144,0,0,0,1,4.7008e+07
1.3323e+05,4.7115e+07,0,171,-42,361,43,-7,144,0,0,0,1,4.7115e+07
1.3365e+05,4.722e+07,0,165,-43,364,43,-7,144,0,0,0,1,4.722e+07
1.341e+05,4.7326e+07,0,159,-57,365,43,-7,144,0,0,0,1,4.7326e+07
1.3454e+05,4.7432e+07,0,159,-58,366,43,-7,144,0,0,0,1,4.7432e+07
1.3495e+05,4.7536e+07,0,157,-59,363,43,-7,144,0,0,0,1,4.7536e+07
1.354e+05,4.7642e+07,0,166,-57,361,43,-7,144,0,0,0,1,4.7642e+07
1.3584e+05,4.7748e+07,0,164,-58,353,43,-7,144,0,0,0,1,4.7748e+07
