LineNo,TimeUS,Lat,Lng,Alt,RelHomeAlt,RelOriginAlt
1.6554e+05,5.4872e+07,43.601,13.482,89.17,4.2059,4.2059
1.6558e+05,5.4886e+07,43.601,13.482,89.17,4.2079,4.2079
1.6563e+05,5.4896e+07,43.601,13.482,89.17,4.2089,4.2089
1.6567e+05,5.4906e+07,43.601,13.482,89.17,4.209,4.209
1.6572e+05,5.4917e+07,43.601,13.482,89.17,4.2099,4.2099
1.6576e+05,5.4927e+07,43.601,13.482,89.17,4.2107,4.2107
1.6581e+05,5.4938e+07,43.601,13.482,89.17,4.2115,4.2115
1.6586e+05,5.4948e+07,43.601,13.482,89.19,4.2123,4.2123
1.659e+05,5.4959e+07,43.601,13.482,89.19,4.2124,4.2124
1.6595e+05,5.4969e+07,43.601,13.482,89.19,4.2132,4.2132
1.6599e+05,5.4981e+07,43.601,13.482,89.19,4.214,4.214
1.6603e+05,5.4992e+07,43.601,13.482,89.19,4.2142,4.2142
1.6608e+05,5.5003e+07,43.601,13.482,89.19,4.2144,4.2144
1.6612e+05,5.5013e+07,43.601,13.482,89.19,4.2146,4.2146
1.6616e+05,5.5023e+07,43.601,13.482,89.19,4.215,4.215
1.6621e+05,5.5034e+07,43.601,13.482,89.19,4.2153,4.2153
1.6626e+05,5.5044e+07,43.601,13.482,89.19,4.2157,4.2157
1.663e+05,5.5054e+07,43.601,13.482,89.19,4.2162,4.2162
1.6635e+05,5.5064e+07,43.601,13.482,89.19,4.2165,4.2165
1.6639e+05,5.5074e+07,43.601,13.482,89.19,4.2174,4.2174
1.6644e+05,5.5093e+07,43.601,13.482,89.19,4.2186,4.2186
1.6648e+05,5.5103e+07,43.601,13.482,89.19,4.2195,4.2195
1.6653e+05,5.5113e+07,43.601,13.482,89.19,4.2203,4.2203
1.6657e+05,5.5123e+07,43.601,13.482,89.19,4.221,4.221
1.6662e+05,5.5134e+07,43.601,13.482,89.19,4.2214,4.2214
1.6667e+05,5.5145e+07,43.601,13.482,89.18,4.2223,4.2223
1.6671e+05,5.5155e+07,43.601,13.482,89.18,4.223,4.223
1.6676e+05,5.5165e+07,43.601,13.482,89.18,4.2237,4.2237
1.668e+05,5.5175e+07,43.601,13.482,89.18,4.2241,4.2241
1.6685e+05,5.5186e+07,43.601,13.482,89.18,4.2248,4.2248
1.6689e+05,5.52e+07,43.601,13.482,89.18,4.2252,4.2252
1.6693e+05,5.5211e+07,43.601,13.482,89.18,4.2254,4.2254
1.6698e+05,5.5222e+07,43.601,13.482,89.18,4.2256,4.2256
1.6702e+05,5.5233e+07,43.601,13.482,89.18,4.2257,4.2257
1.6707e+05,5.5243e+07,43.601,13.482,89.18,4.2258,4.2258
1.6712e+05,5.5254e+07,43.601,13.482,89.18,4.2259,4.2259
1.6716e+05,5.5264e+07,43.601,13.482,89.18,4.2259,4.2259
1.6721e+05,5.5274e+07,43.601,13.482,89.18,4.2258,4.2258
1.6725e+05,5.5284e+07,43.601,13.482,89.18,4.2257,4.2257
1.673e+05,5.5294e+07,43.601,13.482,89.18,4.2257,4.2257
1.6734e+05,5.5308e+07,43.601,13.482,89.18,4.2256,4.2256
1.6738e+05,5.5318e+07,43.601,13.482,89.18,4.2252,4.2252
1.6743e+05,5.5329e+07,43.601,13.482,89.18,4.2248,4.2248
1.6747e+05,5.5339e+07,43.601,13.482,89.21,4.2244,4.2244
1.6752e+05,5.5349e+07,43.601,13.482,89.21,4.224,4.224
1.6756e+05,5.5359e+07,43.601,13.482,89.21,4.2239,4.2239
1.6761e+05,5.5369e+07,43.601,13.482,89.21,4.2234,4.2234
1.6765e+05,5.538e+07,43.601,13.482,89.21,4.223,4.223
1.677e+05,5.539e+07,43.601,13.482,89.21,4.2226,4.2226
1.6774e+05,5.5402e+07,43.601,13.482,89.21,4.2222,4.2222
1.6779e+05,5.5416e+07,43.601,13.482,89.21,4.2219,4.2219
1.6783e+05,5.5426e+07,43.601,13.482,89.21,4.2217,4.2217
1.6788e+05,5.5437e+07,43.601,13.482,89.21,4.2215,4.2215
1.6792e+05,5.5447e+07,43.601,13.482,89.21,4.2213,4.2213
1.6797e+05,5.5457e+07,43.601,13.482,89.21,4.2211,4.2211
1.6802e+05,5.5468e+07,43.601,13.482,89.21,4.2208,4.2208
1.6806e+05,5.5478e+07,43.601,13.482,89.21,4.2207,4.2207
1.681e+05,5.5488e+07,43.601,13.482,89.21,4.2205,4.2205
1.6815e+05,5.5498e+07,43.601,13.482,89.21,4.2209,4.2209
1.6819e+05,5.5511e+07,43.601,13.482,89.21,4.2213,4.2213
1.6823e+05,5.5521e+07,43.601,13.482,89.21,4.2218,4.2218
1.6828e+05,5.5532e+07,43.601,13.482,89.21,4.2222,4.2222
1.6832e+05,5.5543e+07,43.601,13.482,89.21,4.2227,4.2227
1.6837e+05,5.5554e+07,43.601,13.482,89.2,4.2231,4.2231
1.6842e+05,5.5565e+07,43.601,13.482,89.2,4.2235,4.2235
1.6846e+05,5.5575e+07,43.601,13.482,89.2,4.2235,4.2235
1.6851e+05,5.5585e+07,43.601,13.482,89.2,4.2239,4.2239
1.6855e+05,5.5595e+07,43.601,13.482,89.2,4.2243,4.2243
1.686e+05,5.5605e+07,43.601,13.482,89.2,4.2251,4.2251
1.6864e+05,5.562e+07,43.601,13.482,89.2,4.2259,4.2259
1.6869e+05,5.563e+07,43.601,13.482,89.2,4.2267,4.2267
1.6873e+05,5.5642e+07,43.601,13.482,89.2,4.2275,4.2275
1.6877e+05,5.5652e+07,43.601,13.482,89.2,4.2282,4.2282
1.6882e+05,5.5662e+07,43.601,13.482,89.2,4.2289,4.2289
1.6887e+05,5.5673e+07,43.601,13.482,89.2,4.2289,4.2289
1.6891e+05,5.5683e+07,43.601,13.482,89.2,4.2295,4.2295
1.6896e+05,5.5693e+07,43.601,13.482,89.2,4.2302,4.2302
1.69e+05,5.5703e+07,43.601,13.482,89.2,4.2307,4.2307
1.6905e+05,5.572e+07,43.601,13.482,89.2,4.2314,4.2314
1.6909e+05,5.5731e+07,43.601,13.482,89.2,4.233,4.233
1.6914e+05,5.5742e+07,43.601,13.482,89.2,4.2347,4.2347
1.6918e+05,5.5752e+07,43.601,13.482,89.2,4.2362,4.2362
1.6923e+05,5.5763e+07,43.601,13.482,89.2,4.2378,4.2378
1.6927e+05,5.5773e+07,43.601,13.482,89.2,4.2379,4.2379
1.6932e+05,5.5783e+07,43.601,13.482,89.2,4.2394,4.2394
1.6937e+05,5.5793e+07,43.601,13.482,89.2,4.2408,4.2408
1.6941e+05,5.5803e+07,43.601,13.482,89.2,4.2421,4.2421
1.6946e+05,5.5813e+07,43.601,13.482,89.2,4.2433,4.2433
1.695e+05,5.5826e+07,43.601,13.482,89.2,4.2446,4.2446
1.6954e+05,5.5836e+07,43.601,13.482,89.2,4.2458,4.2458
1.6958e+05,5.5847e+07,43.601,13.482,89.2,4.2469,4.2469
1.6963e+05,5.5857e+07,43.601,13.482,89.2,4.248,4.248
1.6968e+05,5.5867e+07,43.601,13.482,89.2,4.248,4.248
1.6972e+05,5.5877e+07,43.601,13.482,89.2,4.249,4.249
1.6977e+05,5.5887e+07,43.601,13.482,89.2,4.2498,4.2498
1.6981e+05,5.5898e+07,43.601,13.482,89.2,4.2507,4.2507
1.6986e+05,5.5908e+07,43.601,13.482,89.2,4.2507,4.2507
1.699e+05,5.5918e+07,43.601,13.482,89.2,4.2514,4.2514
