LineNo,TimeUS,IMU,VibeX,VibeY,VibeZ,Clip
12909,1.8239e+07,0,1.8877,3.0017,1.0201,0
12947,1.8249e+07,0,1.9264,2.953,0.99482,0
12984,1.826e+07,0,1.9761,2.948,1.0333,0
13025,1.8269e+07,0,1.9616,2.9091,0.99675,0
13066,1.828e+07,0,1.9945,2.848,0.98989,0
13108,1.8289e+07,0,2.0174,2.7746,0.9999,0
13148,1.83e+07,0,2.0645,2.7009,0.98603,0
13193,1.831e+07,0,2.073,2.6019,1.0056,0
13233,1.8319e+07,0,2.1099,2.4862,0.98809,0
13276,1.8329e+07,0,2.1151,2.3747,1.0349,0
13317,1.834e+07,0,2.1244,2.2776,1.0052,0
13355,1.8352e+07,0,2.0777,2.1314,0.98095,0
13395,1.8362e+07,0,2.0329,2.0184,0.94735,0
13436,1.8373e+07,0,1.9944,1.9156,0.95969,0
13478,1.8383e+07,0,1.9902,1.8293,0.91562,0
13518,1.8393e+07,0,1.9952,1.7452,0.91219,0
13560,1.8403e+07,0,2.0142,1.6633,0.87278,0
13604,1.8413e+07,0,2.0115,1.5868,0.87059,0
13644,1.8423e+07,0,2.0221,1.5155,0.83049,0
13685,1.8433e+07,0,2.0081,1.4471,0.81693,0
13726,1.8443e+07,0,2.0088,1.3696,0.79489,0
13764,1.8453e+07,0,1.9929,1.2971,0.7921,0
13804,1.8463e+07,0,1.9937,1.2289,0.78714,0
13842,1.8473e+07,0,1.9786,1.1677,0.79771,0
13883,1.8483e+07,0,1.9828,1.1067,0.81044,0
13925,1.8493e+07,0,1.9565,1.0512,0.81112,0
13967,1.8504e+07,0,1.9018,1.0038,0.84787,0
14012,1.8514e+07,0,1.8349,0.97155,0.83359,0
14053,1.8523e+07,0,1.7691,0.94501,0.85093,0
14096,1.8533e+07,0,1.6827,0.94812,0.8356,0
14136,1.8544e+07,0,1.5945,0.95027,0.88963,0
14177,1.8556e+07,0,1.5142,0.92715,0.85841,0
14218,1.8567e+07,0,1.4433,0.93522,0.91318,0
14259,1.8577e+07,0,1.4039,0.93514,0.92506,0
14299,1.8586e+07,0,1.3743,0.96873,0.96548,0
14341,1.8597e+07,0,1.3799,0.95991,0.94619,0
14385,1.8607e+07,0,1.3722,0.96005,1.0113,0
14428,1.8617e+07,0,1.3748,0.93061,1.0022,0
14469,1.8627e+07,0,1.3745,0.92637,1.0384,0
14509,1.8637e+07,0,1.3803,0.88533,1.0355,0
14551,1.8647e+07,0,1.3776,0.85255,1.1177,0
14588,1.8657e+07,0,1.3808,0.80411,1.1284,0
14630,1.8668e+07,0,1.384,0.77432,1.1684,0
14671,1.8678e+07,0,1.3778,0.75384,1.2141,0
14711,1.8688e+07,0,1.3539,0.75699,1.2304,0
14752,1.8697e+07,0,1.3102,0.74798,1.2355,0
14796,1.8708e+07,0,1.2547,0.74692,1.2192,0
14838,1.8718e+07,0,1.1811,0.78067,1.222,0
14879,1.8729e+07,0,1.1127,0.84823,1.1724,0
14922,1.8739e+07,0,1.0615,0.88851,1.157,0
14964,1.8748e+07,0,1.0107,0.91082,1.1117,0
14998,1.8758e+07,0,0.95102,0.95495,1.137,0
15038,1.8768e+07,0,0.90368,1.0185,1.0909,0
15078,1.8779e+07,0,0.86039,1.0866,1.1335,0
15118,1.8789e+07,0,0.81229,1.1342,1.096,0
15160,1.8799e+07,0,0.76749,1.2053,1.1548,0
15205,1.8809e+07,0,0.73421,1.2799,1.1492,0
15248,1.8819e+07,0,0.722,1.3817,1.2041,0
15289,1.8829e+07,0,0.70714,1.4772,1.184,0
15331,1.8839e+07,0,0.70108,1.5536,1.1942,0
15371,1.8849e+07,0,0.71208,1.618,1.219,0
15406,1.8859e+07,0,0.73211,1.6669,1.23,0
15447,1.8869e+07,0,0.74985,1.7012,1.2569,0
15487,1.8879e+07,0,0.74332,1.6928,1.2566,0
15528,1.8889e+07,0,0.74639,1.6623,1.2853,0
15570,1.89e+07,0,0.75238,1.6063,1.2494,0
15613,1.891e+07,0,0.77121,1.5602,1.3215,0
15655,1.892e+07,0,0.78567,1.4913,1.2834,0
15695,1.893e+07,0,0.85096,1.4338,1.3301,0
15739,1.894e+07,0,0.92971,1.3803,1.2888,0
15780,1.8953e+07,0,0.97369,1.332,1.3131,0
15821,1.8963e+07,0,1.0507,1.2874,1.2917,0
15858,1.8973e+07,0,1.1066,1.2889,1.3168,0
15899,1.8983e+07,0,1.1758,1.2542,1.2947,0
15942,1.8993e+07,0,1.2097,1.2399,1.2971,0
15982,1.9003e+07,0,1.3154,1.1876,1.3176,0
16028,1.9013e+07,0,1.3834,1.1966,1.3044,0
16068,1.9023e+07,0,1.4392,1.1489,1.3133,0
16109,1.9033e+07,0,1.46,1.1424,1.2945,0
16152,1.9043e+07,0,1.4742,1.096,1.3089,0
16189,1.9056e+07,0,1.46,1.0558,1.3234,0
16230,1.9066e+07,0,1.4168,1.0192,1.3504,0
16270,1.9076e+07,0,1.3876,0.96757,1.3345,0
16311,1.9086e+07,0,1.3221,0.93002,1.355,0
16353,1.9096e+07,0,1.2902,0.89702,1.3857,0
16394,1.9106e+07,0,1.2275,0.87806,1.3962,0
16439,1.9116e+07,0,1.2115,0.84744,1.4156,0
16479,1.9126e+07,0,1.158,0.87048,1.4076,0
16521,1.9136e+07,0,1.1454,0.86337,1.418,0
16564,1.9146e+07,0,1.1176,0.91455,1.4078,0
16605,1.9161e+07,0,1.101,0.97685,1.3758,0
16645,1.9172e+07,0,1.104,1.0034,1.4034,0
16687,1.9182e+07,0,1.0838,1.0909,1.3449,0
16728,1.9192e+07,0,1.0939,1.1648,1.3603,0
16768,1.9202e+07,0,1.0736,1.2949,1.3028,0
16812,1.9213e+07,0,1.0714,1.406,1.3119,0
16853,1.9222e+07,0,1.0707,1.5215,1.2583,0
16895,1.9233e+07,0,1.0764,1.6031,1.2424,0
16936,1.9243e+07,0,1.0534,1.671,1.2014,0
16976,1.9253e+07,0,1.0527,1.6821,1.2125,0
17014,1.9266e+07,0,1.101,1.7065,1.1784,0
17059,1.9278e+07,0,1.1491,1.7093,1.1866,0
17100,1.9289e+07,0,1.2634,1.6465,1.2248,0
17141,1.9298e+07,0,1.3368,1.6324,1.2467,0
17181,1.9308e+07,0,1.4579,1.5777,1.258,0
17229,1.9321e+07,0,1.6016,1.5341,1.2942,0
17273,1.9331e+07,0,1.6966,1.511,1.4372,0
17313,1.9341e+07,0,1.7735,1.466,1.3934,0
17354,1.9354e+07,0,1.9073,1.46,1.5245,0
17391,1.9364e+07,0,1.9859,1.4232,1.5164,0
17432,1.9374e+07,0,2.0449,1.4298,1.65,0
17475,1.9384e+07,0,2.0999,1.3978,1.6279,0
17515,1.9393e+07,0,2.1583,1.4086,1.7311,0
17557,1.9404e+07,0,2.2111,1.3645,1.6937,0
17600,1.9414e+07,0,2.2494,1.3695,1.7931,0
17642,1.9424e+07,0,2.2864,1.3265,1.7487,0
17682,1.9434e+07,0,2.3261,1.3348,1.8263,0
17723,1.9444e+07,0,2.3512,1.2827,1.7785,0
17764,1.9456e+07,0,2.3529,1.261,1.795,0
17805,1.9467e+07,0,2.3633,1.2371,1.856,0
17846,1.9477e+07,0,2.3362,1.1845,1.7851,0
17888,1.9487e+07,0,2.2984,1.1702,1.8296,0
17930,1.9496e+07,0,2.2541,1.1355,1.7602,0
17971,1.9506e+07,0,2.2337,1.1417,1.7799,0
18016,1.9517e+07,0,2.196,1.1294,1.7157,0
18059,1.9527e+07,0,2.1743,1.1799,1.7349,0
18099,1.9536e+07,0,2.1372,1.1801,1.6738,0
18140,1.9547e+07,0,2.0926,1.2585,1.6603,0
18180,1.956e+07,0,2.0186,1.2794,1.5817,0
18222,1.957e+07,0,1.9667,1.3494,1.5672,0
18263,1.958e+07,0,1.9099,1.3649,1.5235,0
18300,1.959e+07,0,1.8583,1.3915,1.4756,0
18342,1.96e+07,0,1.8178,1.378,1.4543,0
18383,1.961e+07,0,1.7877,1.3801,1.4092,0
18429,1.962e+07,0,1.7522,1.347,1.3939,0
18470,1.963e+07,0,1.7088,1.2953,1.3296,0
18510,1.964e+07,0,1.6713,1.224,1.3067,0
18551,1.965e+07,0,1.6502,1.1577,1.2505,0
18591,1.966e+07,0,1.6551,1.0917,1.2386,0
18627,1.967e+07,0,1.6536,1.0297,1.1762,0
