LineNo,TimeUS,Tar,Act,Err,P,I,D,FF,Dmod,SRate,Limit
12263,1.8083e+07,16.386,16.386,0,0,-209.11,0,0,1,0,1
12305,1.8092e+07,-13.952,-13.952,0,0,-209.11,0,0,1,0,1
12348,1.8102e+07,14.297,14.297,0,0,-209.11,0,0,1,0,1
12390,1.8113e+07,-14.041,-14.041,0,0,-209.11,0,0,1,0,1
12436,1.8125e+07,13.44,13.44,0,0,-209.11,0,0,1,0,1
12476,1.8135e+07,-22.379,-22.379,0,0,-209.11,0,0,1,0,1
12521,1.8147e+07,4.3164,4.3164,0,0,-209.11,0,0,1,0,1
12558,1.8158e+07,-8.4359,-8.4359,0,0,-209.11,0,0,1,0,1
12599,1.8168e+07,3.5489,3.5489,0,0,-209.11,0,0,1,0,1
12640,1.8178e+07,-1.9112,-1.9112,0,0,-209.11,0,0,1,0,1
12682,1.8189e+07,0.49019,0.49019,0,0,-209.11,0,0,1,0,1
12723,1.8199e+07,-4.469,-4.469,0,0,-209.11,0,0,1,0,1
12767,1.8208e+07,-4.2614,-4.2614,0,0,-209.11,0,0,1,0,1
12808,1.8218e+07,-5.5331,-5.5331,0,0,-209.11,0,0,1,0,1
12848,1.8228e+07,-5.3513,-5.3513,0,0,-209.11,0,0,1,0,1
12890,1.8239e+07,-1.3065,-1.3065,0,0,-209.11,0,0,1,0,1
12928,1.8249e+07,-1.6963,-1.6963,0,0,-209.11,0,0,1,0,1
12965,1.8259e+07,6.4798,6.4798,0,0,-209.11,0,0,1,0,1
13006,1.8269e+07,4.2599,4.2599,0,0,-209.11,0,0,1,0,1
13047,1.8279e+07,8.2384,8.2384,0,0,-209.11,0,0,1,0,1
13089,1.8289e+07,5.862,5.862,0,0,-209.11,0,0,1,0,1
13129,1.8299e+07,-0.39101,-0.39101,0,0,-209.11,0,0,1,0,1
13174,1.8309e+07,6.8667,6.8667,0,0,-209.11,0,0,1,0,1
13214,1.8319e+07,-6.636,-6.636,0,0,-209.11,0,0,1,0,1
13257,1.8329e+07,5.8286,5.8286,0,0,-209.11,0,0,1,0,1
13298,1.8339e+07,-9.0683,-9.0683,0,0,-209.11,0,0,1,0,1
13336,1.8352e+07,-6.4684,-6.4684,0,0,-209.11,0,0,1,0,1
13376,1.8362e+07,-5.3063,-5.3063,0,0,-209.11,0,0,1,0,1
13417,1.8372e+07,-7.3192,-7.3192,0,0,-209.11,0,0,1,0,1
13459,1.8382e+07,0.01564,0.01564,0,0,-209.11,0,0,1,0,1
13499,1.8392e+07,-5.7524,-5.7524,0,0,-209.11,0,0,1,0,1
13541,1.8402e+07,5.8396,5.8396,0,0,-209.11,0,0,1,0,1
13585,1.8412e+07,-9.0241,-9.0241,0,0,-209.11,0,0,1,0,1
13625,1.8423e+07,2.2053,2.2053,0,0,-209.11,0,0,1,0,1
13666,1.8432e+07,-10.45,-10.45,0,0,-209.11,0,0,1,0,1
13707,1.8442e+07,0.34561,0.34561,0,0,-209.11,0,0,1,0,1
13745,1.8452e+07,-9.7816,-9.7816,0,0,-209.11,0,0,1,0,1
13785,1.8463e+07,5.4266,5.4266,0,0,-209.11,0,0,1,0,1
13823,1.8473e+07,-13.243,-13.243,0,0,-209.11,0,0,1,0,1
13864,1.8483e+07,4.0033,4.0033,0,0,-209.11,0,0,1,0,1
13904,1.8493e+07,-9.0502,-9.0502,0,0,-209.11,0,0,1,0,1
13948,1.8503e+07,8.9784,8.9784,0,0,-209.11,0,0,1,0,1
13993,1.8513e+07,-7.8001,-7.8001,0,0,-209.11,0,0,1,0,1
14034,1.8523e+07,8.0624,8.0624,0,0,-209.11,0,0,1,0,1
14077,1.8533e+07,-2.5454,-2.5454,0,0,-209.11,0,0,1,0,1
14117,1.8543e+07,12.325,12.325,0,0,-209.11,0,0,1,0,1
14158,1.8556e+07,-6.5446,-6.5446,0,0,-209.11,0,0,1,0,1
14199,1.8566e+07,8.1833,8.1833,0,0,-209.11,0,0,1,0,1
14240,1.8576e+07,-6.5681,-6.5681,0,0,-209.11,0,0,1,0,1
14280,1.8586e+07,-4.5425,-4.5425,0,0,-209.11,0,0,1,0,1
14322,1.8596e+07,-5.4699,-5.4699,0,0,-209.11,0,0,1,0,1
14366,1.8606e+07,-11.526,-11.526,0,0,-209.11,0,0,1,0,1
14409,1.8616e+07,-5.4264,-5.4264,0,0,-209.11,0,0,1,0,1
14450,1.8626e+07,-10.267,-10.267,0,0,-209.11,0,0,1,0,1
14490,1.8636e+07,-4.2756,-4.2756,0,0,-209.11,0,0,1,0,1
14532,1.8646e+07,-14.372,-14.372,0,0,-209.11,0,0,1,0,1
14569,1.8657e+07,0.2636,0.2636,0,0,-209.11,0,0,1,0,1
14611,1.8667e+07,-9.2968,-9.2968,0,0,-209.11,0,0,1,0,1
14652,1.8678e+07,5.9173,5.9173,0,0,-209.11,0,0,1,0,1
14692,1.8687e+07,-5.3575,-5.3575,0,0,-209.11,0,0,1,0,1
14733,1.8697e+07,4.8442,4.8442,0,0,-209.11,0,0,1,0,1
14777,1.8707e+07,-2.6427,-2.6427,0,0,-209.11,0,0,1,0,1
14819,1.8718e+07,0.6506,0.6506,0,0,-209.11,0,0,1,0,1
14860,1.8728e+07,-4.8952,-4.8952,0,0,-209.11,0,0,1,0,1
14903,1.8738e+07,5.0997,5.0997,0,0,-209.11,0,0,1,0,1
14945,1.8748e+07,-1.5528,-1.5528,0,0,-209.11,0,0,1,0,1
14979,1.8758e+07,9.2585,9.2585,0,0,-209.11,0,0,1,0,1
15019,1.8768e+07,-5.2511,-5.2511,0,0,-209.11,0,0,1,0,1
15059,1.8778e+07,13.206,13.206,0,0,-209.11,0,0,1,0,1
15099,1.8789e+07,-11.355,-11.355,0,0,-209.11,0,0,1,0,1
15141,1.8798e+07,11.173,11.173,0,0,-209.11,0,0,1,0,1
15186,1.8808e+07,-15.548,-15.548,0,0,-209.11,0,0,1,0,1
15229,1.8818e+07,13.537,13.537,0,0,-209.11,0,0,1,0,1
15270,1.8828e+07,-18.84,-18.84,0,0,-209.11,0,0,1,0,1
15312,1.8839e+07,11.657,11.657,0,0,-209.11,0,0,1,0,1
15352,1.8848e+07,-21.596,-21.596,0,0,-209.11,0,0,1,0,1
15387,1.8858e+07,14.768,14.768,0,0,-209.11,0,0,1,0,1
15428,1.8868e+07,-25.406,-25.406,0,0,-209.11,0,0,1,0,1
