LineNo,TimeUS,C,MI,BI,GI,AI,SS
17001,1.9264e+07,0,0,0,0,0,0
17046,1.9276e+07,0,0,0,0,0,0
17087,1.9286e+07,0,0,0,0,0,0
17128,1.9296e+07,0,0,0,0,0,0
17168,1.9306e+07,0,0,0,0,0,0
17216,1.9319e+07,0,0,0,0,0,0
17260,1.9329e+07,0,0,0,0,0,0
17300,1.9339e+07,0,0,0,0,0,0
17341,1.9352e+07,0,0,0,0,0,0
17378,1.9362e+07,0,0,0,0,0,0
17419,1.9372e+07,0,0,0,0,0,0
17462,1.9382e+07,0,0,0,0,0,0
17502,1.9392e+07,0,0,0,0,0,0
17544,1.9402e+07,0,0,0,0,0,0
17587,1.9412e+07,0,0,0,0,0,0
17629,1.9422e+07,0,0,0,0,0,0
17669,1.9432e+07,0,0,0,0,0,0
17710,1.9442e+07,0,0,0,0,0,0
17751,1.9455e+07,0,0,0,0,0,0
17792,1.9465e+07,0,0,0,0,0,0
17833,1.9475e+07,0,0,0,0,0,0
17873,1.9485e+07,0,0,0,0,0,0
17917,1.9495e+07,0,0,0,0,0,0
17958,1.9505e+07,0,0,0,0,0,0
18003,1.9515e+07,0,0,0,0,0,0
18046,1.9525e+07,0,0,0,0,0,0
18086,1.9535e+07,0,0,0,0,0,0
18127,1.9545e+07,0,0,0,0,0,0
18167,1.9557e+07,0,0,0,0,0,0
18209,1.9568e+07,0,0,0,0,0,0
18250,1.9578e+07,0,0,0,0,0,0
18287,1.9588e+07,0,0,0,0,0,0
18329,1.9598e+07,0,0,0,0,0,0
18370,1.9608e+07,0,0,0,0,0,0
18416,1.9618e+07,0,0,0,0,0,0
18457,1.9628e+07,0,0,0,0,0,0
18497,1.9638e+07,0,0,0,0,0,0
18538,1.9648e+07,0,0,0,0,0,0
18578,1.9658e+07,0,0,0,0,0,0
18614,1.9668e+07,0,0,0,0,0,0
18656,1.9678e+07,0,0,0,0,0,0
18696,1.9688e+07,0,0,0,0,0,0
18737,1.9698e+07,0,0,0,0,0,0
18780,1.9708e+07,0,0,0,0,0,0
18824,1.9718e+07,0,0,0,0,0,0
18866,1.9728e+07,0,0,0,0,0,0
18907,1.9738e+07,0,0,0,0,0,0
18947,1.9748e+07,0,0,0,0,0,0
18989,1.9758e+07,0,0,0,0,0,0
19027,1.9768e+07,0,0,0,0,0,0
19067,1.9778e+07,0,0,0,0,0,0
19108,1.9789e+07,0,0,0,0,0,0
19148,1.9798e+07,0,0,0,0,0,0
19191,1.9809e+07,0,0,0,0,0,0
19237,1.9818e+07,0,0,0,0,0,0
19278,1.9828e+07,0,0,0,0,0,0
19319,1.9839e+07,0,0,0,0,0,0
19359,1.9848e+07,0,0,0,0,0,0
19401,1.9861e+07,0,0,0,0,0,0
19441,1.9871e+07,0,0,0,0,0,0
19482,1.9881e+07,0,0,0,0,0,0
19523,1.9891e+07,0,0,0,0,0,0
19564,1.9901e+07,0,0,0,0,0,0
19612,1.9914e+07,0,0,0,0,0,0
19653,1.9923e+07,0,0,0,0,0,0
19696,1.9934e+07,0,0,0,0,0,0
19737,1.9944e+07,0,0,0,0,0,0
19775,1.9953e+07,0,0,0,0,0,0
19813,1.9963e+07,0,0,0,0,0,0
19854,1.9974e+07,0,0,0,0,0,0
19895,1.9984e+07,0,0,0,0,0,0
19937,1.9994e+07,0,0,0,0,0,0
19979,2.0003e+07,0,0,0,0,0,0
20023,2.0014e+07,0,0,0,0,0,0
20065,2.0024e+07,0,0,0,0,0,0
20106,2.0034e+07,0,0,0,0,0,0
20146,2.0043e+07,0,0,0,0,0,0
20187,2.0054e+07,0,0,0,0,0,0
20222,2.0064e+07,0,0,0,0,0,0
20263,2.0074e+07,0,0,0,0,0,0
20304,2.0084e+07,0,0,0,0,0,0
20344,2.0094e+07,0,0,0,0,0,0
20386,2.0104e+07,0,0,0,0,0,0
20431,2.0114e+07,0,0,0,0,0,0
20472,2.0124e+07,0,0,0,0,0,0
