LineNo,TimeUS,RMSRollP,RMSRollD,RMSPitchP,RMSPitchD,RMSYaw
12035,1.8017e+07,0.010116,0.032218,0.0098723,0.023858,0.038617
12077,1.8028e+07,0.010018,0.031915,0.0098004,0.023831,0.037849
12121,1.8043e+07,0.0099948,0.031823,0.0098293,0.024061,0.036726
12162,1.8053e+07,0.0099548,0.031529,0.010101,0.024408,0.035996
12202,1.8063e+07,0.0099462,0.031663,0.0099509,0.024642,0.03528
12245,1.8073e+07,0.0098846,0.031467,0.010334,0.02546,0.034579
12285,1.8083e+07,0.0099704,0.031732,0.010164,0.025511,0.033892
12327,1.8093e+07,0.0098924,0.031408,0.010605,0.026467,0.033218
12370,1.8103e+07,0.009945,0.031663,0.010432,0.02654,0.032558
12412,1.8113e+07,0.0098801,0.031434,0.010962,0.027709,0.031911
12458,1.8126e+07,0.010084,0.032074,0.010754,0.027644,0.03112
12498,1.8135e+07,0.010022,0.031877,0.011131,0.028498,0.030501
12543,1.8148e+07,0.0098755,0.031411,0.011224,0.028903,0.029745
12580,1.8159e+07,0.0098597,0.031342,0.011225,0.029088,0.029154
12621,1.8169e+07,0.0098431,0.031243,0.011397,0.029302,0.028574
12662,1.8179e+07,0.0098657,0.031365,0.011243,0.029215,0.028006
12704,1.8189e+07,0.0098268,0.031218,0.011415,0.029524,0.027449
12745,1.8199e+07,0.0098512,0.031331,0.011262,0.029423,0.026904
12789,1.8209e+07,0.0098171,0.031054,0.011489,0.029737,0.026369
12830,1.8219e+07,0.0098272,0.031197,0.011298,0.029524,0.025845
12870,1.8229e+07,0.009754,0.030974,0.011531,0.029777,0.025332
12912,1.8239e+07,0.0097778,0.031058,0.011333,0.029557,0.024829
12950,1.8249e+07,0.0096573,0.030625,0.011593,0.029706,0.024335
12987,1.826e+07,0.0096176,0.030551,0.011372,0.029603,0.023853
13028,1.8269e+07,0.0095017,0.030174,0.011572,0.029692,0.023379
13069,1.828e+07,0.0095124,0.030192,0.011351,0.029548,0.022915
13111,1.8289e+07,0.0093624,0.029674,0.011492,0.029542,0.022459
13151,1.83e+07,0.0093028,0.02953,0.011275,0.029361,0.022013
13196,1.831e+07,0.0091379,0.029006,0.011374,0.029331,0.021576
13236,1.8319e+07,0.0090723,0.028787,0.011152,0.029049,0.021148
