LineNo,TimeUS,C,V00,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11
2.3721e+05,7.2032e+07,0,6.7035e-06,3.8325e-05,4.6578e-05,0.0029025,0.012428,0.012647,0.0098368,0.04352,0.043552,0.28793,5.4076e-11,5.7948e-11
2.3934e+05,7.2532e+07,0,5.5253e-06,3.7754e-05,4.6295e-05,0.0024462,0.013942,0.014105,0.0095612,0.04577,0.045853,0.23652,5.3546e-11,5.7609e-11
2.4149e+05,7.303e+07,0,4.6578e-06,3.1712e-05,3.8979e-05,0.0020512,0.016829,0.016128,0.0091332,0.04279,0.04287,0.19567,5.117e-11,5.4828e-11
2.4361e+05,7.3525e+07,0,4.0844e-06,2.5846e-05,3.1201e-05,0.0018174,0.021322,0.019886,0.0092429,0.045231,0.045329,0.1779,4.9519e-11,5.253e-11
2.4573e+05,7.4024e+07,0,3.494e-06,1.7477e-05,2.0383e-05,0.0015879,0.019255,0.018063,0.0089772,0.042402,0.04246,0.15828,4.7465e-11,4.9692e-11
2.4786e+05,7.4523e+07,0,3.0646e-06,1.3636e-05,1.5577e-05,0.0014122,0.020429,0.019211,0.0091615,0.045671,0.045672,0.14572,4.6994e-11,4.891e-11
2.4997e+05,7.5021e+07,0,2.6898e-06,9.5438e-06,1.0712e-05,0.0012711,0.016826,0.015989,0.0089656,0.042575,0.042576,0.13515,4.6629e-11,4.8287e-11
2.521e+05,7.5518e+07,0,2.4405e-06,7.9204e-06,8.8395e-06,0.001158,0.017003,0.016197,0.0092796,0.045791,0.045734,0.13308,4.6848e-11,4.8403e-11
2.5422e+05,7.6016e+07,0,2.0836e-06,6.0749e-06,6.7995e-06,0.0010824,0.014065,0.01346,0.0090621,0.04263,0.042594,0.12658,4.6971e-11,4.8435e-11
2.5638e+05,7.6515e+07,0,1.899e-06,5.4358e-06,6.1308e-06,0.0010013,0.014322,0.013673,0.0092724,0.04587,0.045779,0.12336,4.7437e-11,4.8857e-11
2.585e+05,7.7011e+07,0,1.8746e-06,4.5347e-06,5.2279e-06,0.0009318,0.012193,0.011613,0.0090051,0.042761,0.042697,0.11923,4.762e-11,4.8996e-11
2.6062e+05,7.7504e+07,0,1.7081e-06,4.2957e-06,5.0145e-06,0.00087233,0.012469,0.011787,0.0091197,0.04555,0.045429,0.11744,4.8079e-11,4.9431e-11
2.6274e+05,7.7999e+07,0,1.7054e-06,3.8146e-06,4.5966e-06,0.00083116,0.010972,0.010299,0.0088949,0.042551,0.042459,0.11772,4.8327e-11,4.9666e-11
2.6486e+05,7.8495e+07,0,1.5225e-06,3.7529e-06,4.5892e-06,0.00078488,0.011347,0.010501,0.0089844,0.045112,0.044947,0.11653,4.8666e-11,5.0002e-11
2.6698e+05,7.8992e+07,0,1.4106e-06,3.4742e-06,4.3764e-06,0.00074403,0.010245,0.0093749,0.0086307,0.042514,0.042376,0.11422,4.8575e-11,4.9933e-11
2.6914e+05,7.9492e+07,0,1.2929e-06,3.5176e-06,4.4823e-06,0.00070797,0.01077,0.0096842,0.0086827,0.045107,0.044857,0.11348,4.8639e-11,5.0037e-11
2.7127e+05,7.9989e+07,0,1.3646e-06,3.3302e-06,4.3509e-06,0.00068296,0.0098975,0.0087947,0.0084274,0.042559,0.042341,0.11434,4.8163e-11,4.9688e-11
2.7338e+05,8.0482e+07,0,1.202e-06,3.4105e-06,4.4679e-06,0.0006537,0.010521,0.0091721,0.0084939,0.045144,0.044769,0.11375,4.7956e-11,4.9627e-11
2.755e+05,8.0978e+07,0,1.2192e-06,3.2566e-06,4.3397e-06,0.00062682,0.0096724,0.0083521,0.0080949,0.042312,0.041997,0.11084,4.6953e-11,4.8965e-11
2.7763e+05,8.1477e+07,0,1.0745e-06,3.3777e-06,4.4867e-06,0.00060301,0.010424,0.0088537,0.0082221,0.045135,0.044602,0.11073,4.6454e-11,4.8807e-11
2.7975e+05,8.1971e+07,0,1.0449e-06,3.2597e-06,4.3756e-06,0.00058107,0.0097034,0.00821,0.007984,0.042549,0.042089,0.11112,4.4973e-11,4.801e-11
2.8186e+05,8.2466e+07,0,9.7995e-07,3.3879e-06,4.5111e-06,0.0005665,0.010375,0.0086731,0.0081086,0.045044,0.044347,0.11058,4.4004e-11,4.7669e-11
2.8398e+05,8.2963e+07,0,9.9461e-07,3.2562e-06,4.3719e-06,0.000548,0.0096275,0.0080437,0.0077955,0.042413,0.041824,0.1078,4.1789e-11,4.6601e-11
2.861e+05,8.3457e+07,0,9.0072e-07,3.3999e-06,4.5025e-06,0.00053122,0.010395,0.0086125,0.0079834,0.045084,0.044222,0.10761,4.0516e-11,4.6291e-11
2.8822e+05,8.3953e+07,0,8.6572e-07,3.2753e-06,4.3594e-06,0.00051558,0.0096497,0.008045,0.0077928,0.04247,0.041758,0.10784,3.789e-11,4.5266e-11
2.9034e+05,8.4447e+07,0,8.2537e-07,3.3868e-06,4.4634e-06,0.00050545,0.010266,0.0085154,0.0079687,0.044723,0.043777,0.10732,3.6146e-11,4.4817e-11
2.9242e+05,8.4941e+07,0,7.8026e-07,3.5276e-06,4.5956e-06,0.00049254,0.011105,0.0091634,0.0082282,0.047865,0.046581,0.10783,3.4354e-11,4.4426e-11
2.9454e+05,8.5441e+07,0,7.6131e-07,3.3504e-06,4.4243e-06,0.00048002,0.010229,0.0085093,0.0079477,0.04476,0.043741,0.1052,3.1122e-11,4.3351e-11
2.9666e+05,8.5941e+07,0,7.2226e-07,3.2104e-06,4.2911e-06,0.00046875,0.0095975,0.0080504,0.0078362,0.042547,0.041703,0.10637,2.8068e-11,4.2456e-11
2.9878e+05,8.6433e+07,0,7.0212e-07,3.2857e-06,4.3902e-06,0.00046174,0.010226,0.0085368,0.0080372,0.044854,0.04381,0.10647,2.6109e-11,4.209e-11
3.009e+05,8.6928e+07,0,6.7833e-07,3.0925e-06,4.24e-06,0.00045182,0.0094946,0.0079692,0.0077717,0.042359,0.041522,0.10468,2.3057e-11,4.1209e-11
