LineNo,TimeUS,I,VDop,HAcc,VAcc,SAcc,YAcc,VV,SMS,Delta,Und
1.4807e+05,1.6782e+09,0,0.99,0.75,1,0.12,0,1,1.6781e+06,200,-43.043
1.4884e+05,1.6784e+09,0,0.99,0.75,1,0.12,0,1,1.6783e+06,200,-43.043
1.4965e+05,1.6786e+09,0,0.99,0.75,1,0.11,0,1,1.6785e+06,200,-43.043
1.5045e+05,1.6788e+09,0,0.99,0.75,1,0.11,0,1,1.6787e+06,200,-43.043
1.5126e+05,1.679e+09,0,0.99,0.75,1,0.1,0,1,1.6789e+06,200,-43.043
1.5207e+05,1.6792e+09,0,0.99,0.75,1,0.11,0,1,1.6791e+06,200,-43.043
1.5286e+05,1.6793e+09,0,0.99,0.75,1,0.11,0,1,1.6793e+06,200,-43.043
1.5364e+05,1.6795e+09,0,0.99,0.75,1,0.11,0,1,1.6795e+06,200,-43.043
1.5453e+05,1.6798e+09,0,1.01,0.75,1,0.12,0,1,1.6797e+06,200,-43.044
1.5527e+05,1.6799e+09,0,1.01,0.74,1,0.12,0,1,1.6799e+06,200,-43.043
1.5606e+05,1.6801e+09,0,1.01,0.74,1,0.11,0,1,1.6801e+06,200,-43.044
1.5696e+05,1.6804e+09,0,0.99,0.74,1,0.12,0,1,1.6803e+06,200,-43.043
1.5772e+05,1.6806e+09,0,0.99,0.74,0.99,0.12,0,1,1.6805e+06,200,-43.043
1.5849e+05,1.6807e+09,0,0.99,0.74,0.99,0.11,0,1,1.6807e+06,200,-43.044
1.5938e+05,1.681e+09,0,0.99,0.74,0.99,0.11,0,1,1.6809e+06,200,-43.043
1.6015e+05,1.6812e+09,0,0.99,0.74,0.99,0.12,0,1,1.6811e+06,200,-43.043
1.6095e+05,1.6813e+09,0,0.99,0.74,0.99,0.12,0,1,1.6813e+06,200,-43.043
1.6176e+05,1.6815e+09,0,0.99,0.74,0.99,0.12,0,1,1.6815e+06,200,-43.043
1.6264e+05,1.6818e+09,0,0.99,0.74,0.99,0.12,0,1,1.6817e+06,200,-43.043
1.6344e+05,1.682e+09,0,0.99,0.74,0.99,0.14,0,1,1.6819e+06,200,-43.043
1.6421e+05,1.6822e+09,0,0.99,0.73,0.99,0.13,0,1,1.6821e+06,200,-43.044
1.6501e+05,1.6823e+09,0,0.99,0.73,0.99,0.12,0,1,1.6823e+06,200,-43.043
1.6583e+05,1.6826e+09,0,0.99,0.73,0.99,0.11,0,1,1.6825e+06,200,-43.043
1.6663e+05,1.6828e+09,0,0.99,0.73,0.99,0.11,0,1,1.6827e+06,200,-43.043
1.6744e+05,1.683e+09,0,0.99,0.73,0.99,0.11,0,1,1.6829e+06,200,-43.043
