LineNo,TimeUS,C,NI,FIX,FIY,AFI,HAGL,offset,RI,rng,Herr,eAng,eVel,ePos
8333,1.6439e+09,0,0,0,0,0,0.31,0.66,0,0,0.5,0.00016789,0.0078264,0.029695
8377,1.6439e+09,0,0,0,0,0,0.32,0.66,0,0,0.5,0.00015358,0.0072712,0.02772
8422,1.6439e+09,0,0,0,0,0,0.32,0.66,0,0,0.5,0.00013644,0.006752,0.025911
8467,1.6439e+09,0,0,0,0,0,0.32,0.66,0,0,0.5,0.00012018,0.0062698,0.024185
8512,1.6439e+09,0,0,0,0,0,0.32,0.66,0,0,0.5,0.00012018,0.0062698,0.024185
8557,1.6439e+09,0,0,0,0,0,0.32,0.66,0,0,0.5,0.00010799,0.0058253,0.022552
8605,1.6439e+09,0,0,0,0,0,0.33,0.66,0,0,0.5,9.6208e-05,0.0054171,0.021024
8649,1.644e+09,0,0,0,0,0,0.3,0.66,0,0,0.5,8.2212e-05,0.013218,0.044445
8690,1.644e+09,0,0,0,0,0,0.31,0.66,0,0,0.5,7.2525e-05,0.012422,0.041685
8735,1.644e+09,0,0,0,0,0,0.31,0.66,0,0,0.5,6.1237e-05,0.011676,0.039058
8781,1.644e+09,0,0,0,0,0,0.31,0.66,0,0,0.5,6.1237e-05,0.011676,0.039058
8822,1.644e+09,0,0,0,0,0,0.31,0.66,0,0,0.5,0.00011885,0.011365,0.03931
8868,1.644e+09,0,0,0,0,0,0.31,0.66,0,0,0.5,0.00010859,0.010676,0.036885
8912,1.644e+09,0,0,0,0,0,0.32,0.66,0,0,0.5,9.9559e-05,0.01003,0.034512
8956,1.644e+09,0,0,0,0,0,0.32,0.66,0,0,0.5,9.1646e-05,0.0094235,0.032306
9002,1.644e+09,0,0,0,0,0,0.32,0.66,0,0,0.5,9.1646e-05,0.0094235,0.032306
9050,1.644e+09,0,0,0,0,0,0.32,0.66,0,0,0.5,8.4838e-05,0.0088578,0.030228
9096,1.6441e+09,0,0,0,0,0,0.32,0.66,0,0,0.5,7.8823e-05,0.0083301,0.028211
9140,1.6441e+09,0,0,0,0,0,0.33,0.66,0,0,0.5,7.4399e-05,0.0078282,0.026308
9185,1.6441e+09,0,0,0,0,0,0.33,0.66,0,0,0.5,6.9481e-05,0.0073652,0.024549
9229,1.6441e+09,0,0,0,0,0,0.33,0.66,0,0,0.5,7.5154e-05,0.0074859,0.027075
9274,1.6441e+09,0,0,0,0,0,0.33,0.66,0,0,0.5,6.8883e-05,0.0070473,0.025287
9319,1.6441e+09,0,0,0,0,0,0.33,0.66,0,0,0.5,6.1698e-05,0.0066435,0.023603
9363,1.6441e+09,0,0,0,0,0,0.33,0.66,0,0,0.5,6.1698e-05,0.0066435,0.023603
9408,1.6441e+09,0,0,0,0,0,0.34,0.66,0,0,0.5,5.501e-05,0.006277,0.022008
9453,1.6441e+09,0,0,0,0,0,0.34,0.66,0,0,0.5,4.7652e-05,0.0059413,0.020596
9502,1.6441e+09,0,0,0,0,0,0.34,0.66,0,0,0.5,4.2089e-05,0.005642,0.019259
9548,1.6442e+09,0,0,0,0,0,0.32,0.66,0,0,0.5,3.666e-05,0.011466,0.038837
9591,1.6442e+09,0,0,0,0,0,0.32,0.66,0,0,0.5,3.1658e-05,0.010766,0.036283
9634,1.6442e+09,0,0,0,0,0,0.32,0.66,0,0,0.5,0.00011808,0.010606,0.037462
9676,1.6442e+09,0,0,0,0,0,0.33,0.66,0,0,0.5,0.00011285,0.0099551,0.03494
9721,1.6442e+09,0,0,0,0,0,0.33,0.66,0,0,0.5,0.00011285,0.0099551,0.03494
9763,1.6442e+09,0,0,0,0,0,0.33,0.66,0,0,0.5,0.00010898,0.009348,0.032581
9806,1.6442e+09,0,0,0,0,0,0.33,0.66,0,0,0.5,0.00010454,0.0087813,0.030336
9849,1.6442e+09,0,0,0,0,0,0.33,0.66,0,0,0.5,0.00010062,0.0082534,0.028224
9894,1.6442e+09,0,0,0,0,0,0.34,0.66,0,0,0.5,9.649e-05,0.0077634,0.026301
9938,1.6443e+09,0,0,0,0,0,0.34,0.66,0,0,0.5,9.649e-05,0.0077634,0.026301
9981,1.6443e+09,0,0,0,0,0,0.34,0.66,0,0,0.5,9.4024e-05,0.0073048,0.024389
10024,1.6443e+09,0,0,0,0,0,0.34,0.66,0,0,0.5,9.1285e-05,0.0068814,0.022609
10068,1.6443e+09,0,0,0,0,0,0.34,0.66,0,0,0.5,8.8692e-05,0.007075,0.02592
10111,1.6443e+09,0,0,0,0,0,0.34,0.66,0,0,0.5,0.00017706,0.0066622,0.024054
10154,1.6443e+09,0,0,0,0,0,0.34,0.66,0,0,0.5,0.00016942,0.0062905,0.02232
10198,1.6443e+09,0,0,0,0,0,0.34,0.66,0,0,0.5,0.00016942,0.0062905,0.02232
10241,1.6443e+09,0,0,0,0,0,0.35,0.66,0,0,0.5,0.00016221,0.0059532,0.020783
10285,1.6443e+09,0,0,0,0,0,0.35,0.66,0,0,0.5,0.00015519,0.0056538,0.019293
10329,1.6444e+09,0,0,0,0,0,0.34,0.66,0,0,0.5,0.0001637,0.011567,0.032729
10373,1.6444e+09,0,0,0,0,0,0.34,0.66,0,0,0.5,0.00015761,0.010962,0.030516
10418,1.6444e+09,0,0,0,0,0,0.34,0.66,0,0,0.5,0.00015174,0.010399,0.028381
10464,1.6444e+09,0,0,0,0,0,0.34,0.66,0,0,0.5,0.0001462,0.009872,0.02635
10508,1.6444e+09,0,0,0,0,0,0.34,0.66,0,0,0.5,0.00030291,0.0097113,0.027892
10553,1.6444e+09,0,0,0,0,0,0.35,0.66,0,0,0.5,0.00029154,0.009231,0.025938
10597,1.6444e+09,0,0,0,0,0,0.35,0.66,0,0,0.5,0.00029154,0.009231,0.025938
10642,1.6444e+09,0,0,0,0,0,0.35,0.66,0,0,0.5,0.00028069,0.0087867,0.024079
10687,1.6444e+09,0,0,0,0,0,0.35,0.66,0,0,0.5,0.00027049,0.0083732,0.022426
10732,1.6444e+09,0,0,0,0,0,0.35,0.66,0,0,0.5,0.0002626,0.0079985,0.020826
10781,1.6445e+09,0,0,0,0,0,0.35,0.66,0,0,0.5,0.0002626,0.0079985,0.020826
10826,1.6445e+09,0,0,0,0,0,0.36,0.66,0,0,0.5,0.00025405,0.0076485,0.019293
10871,1.6445e+09,0,0,0,0,0,0.36,0.66,0,0,0.5,0.00024571,0.0073288,0.017928
10915,1.6445e+09,0,0,0,0,0,0.36,0.66,0,0,0.5,0.00023558,0.0070487,0.016715
10960,1.6445e+09,0,0,0,0,0,0.36,0.66,0,0,0.5,0.00023558,0.0070487,0.016715
11005,1.6445e+09,0,0,0,0,0,0.36,0.66,0,0,0.5,0.00022563,0.0071293,0.020265
11049,1.6445e+09,0,0,0,0,0,0.36,0.66,0,0,0.5,0.00026691,0.0068561,0.018906
11095,1.6445e+09,0,0,0,0,0,0.36,0.66,0,0,0.5,0.00024768,0.0066094,0.017657
11140,1.6445e+09,0,0,0,0,0,0.37,0.66,0,0,0.5,0.00022897,0.0063922,0.016542
11187,1.6446e+09,0,0,0,0,0,0.35,0.66,0,0,0.5,0.000231,0.014661,0.03402
11232,1.6446e+09,0,0,0,0,0,0.35,0.66,0,0,0.5,0.00021503,0.013951,0.031744
11277,1.6446e+09,0,0,0,0,0,0.35,0.66,0,0,0.5,0.00020315,0.013286,0.029567
11323,1.6446e+09,0,0,0,0,0,0.35,0.66,0,0,0.5,0.00018587,0.012664,0.027658
11367,1.6446e+09,0,0,0,0,0,0.35,0.66,0,0,0.5,0.00018587,0.012664,0.027658
11415,1.6446e+09,0,0,0,0,0,0.36,0.66,0,0,0.5,0.00021182,0.011841,0.028559
11461,1.6446e+09,0,0,0,0,0,0.36,0.66,0,0,0.5,0.00021182,0.011841,0.028559
11506,1.6446e+09,0,0,0,0,0,0.36,0.66,0,0,0.5,0.00019671,0.011281,0.026703
11551,1.6446e+09,0,0,0,0,0,0.36,0.66,0,0,0.5,0.00018289,0.01075,0.024974
11596,1.6446e+09,0,0,0,0,0,0.36,0.66,0,0,0.5,0.00017279,0.010252,0.023363
11641,1.6447e+09,0,0,0,0,0,0.36,0.66,0,0,0.5,0.00016128,0.009776,0.021907
11690,1.6447e+09,0,0,0,0,0,0.37,0.66,0,0,0.5,0.00014753,0.0093379,0.020511
11735,1.6447e+09,0,0,0,0,0,0.37,0.66,0,0,0.5,0.00014753,0.0093379,0.020511
11780,1.6447e+09,0,0,0,0,0,0.37,0.66,0,0,0.5,0.00013725,0.008931,0.019211
11824,1.6447e+09,0,0,0,0,0,0.37,0.66,0,0,0.5,0.00012504,0.0085518,0.01819
11866,1.6447e+09,0,0,0,0,0,0.37,0.66,0,0,0.5,0.00012938,0.008315,0.01937
11911,1.6447e+09,0,0,0,0,0,0.37,0.66,0,0,0.5,0.00011512,0.0079684,0.018259
11957,1.6447e+09,0,0,0,0,0,0.38,0.66,0,0,0.5,0.00010446,0.0076531,0.017285
12001,1.6447e+09,0,0,0,0,0,0.38,0.66,0,0,0.5,0.00010446,0.0076531,0.017285
12047,1.6448e+09,0,0,0,0,0,0.38,0.66,0,0,0.5,9.1817e-05,0.0073737,0.016447
12090,1.6448e+09,0,0,0,0,0,0.38,0.66,0,0,0.5,7.9962e-05,0.0071148,0.015751
12135,1.6448e+09,0,0,0,0,0,0.37,0.66,0,0,0.5,6.2451e-05,0.006503,0.021481
12179,1.6448e+09,0,0,0,0,0,0.37,0.66,0,0,0.5,5.4221e-05,0.0060544,0.019545
12223,1.6448e+09,0,0,0,0,0,0.37,0.66,0,0,0.5,4.8633e-05,0.005644,0.017765
12266,1.6448e+09,0,0,0,0,0,0.37,0.66,0,0,0.5,4.2424e-05,0.0057981,0.021208
12308,1.6448e+09,0,0,0,0,0,0.37,0.66,0,0,0.5,5.3396e-05,0.0054004,0.019307
12351,1.6448e+09,0,0,0,0,0,0.37,0.66,0,0,0.5,5.3396e-05,0.0054004,0.019307
12397,1.6448e+09,0,0,0,0,0,0.37,0.66,0,0,0.5,4.801e-05,0.0050408,0.017619
12439,1.6448e+09,0,0,0,0,0,0.38,0.66,0,0,0.5,4.3249e-05,0.0047158,0.016077
12484,1.6449e+09,0,0,0,0,0,0.38,0.66,0,0,0.5,4.0966e-05,0.0044275,0.014562
12526,1.6449e+09,0,0,0,0,0,0.38,0.66,0,0,0.5,3.9072e-05,0.0041779,0.01327
12573,1.6449e+09,0,0,0,0,0,0.38,0.66,0,0,0.5,3.6867e-05,0.0039699,0.012104
12615,1.6449e+09,0,0,0,0,0,0.38,0.66,0,0,0.5,3.6867e-05,0.0039699,0.012104
12657,1.6449e+09,0,0,0,0,0,0.39,0.66,0,0,0.5,3.4507e-05,0.0038031,0.011061
