LineNo,TimeUS,C,MI,BI,GI,AI,SS
23567,1.6475e+09,0,0,0,0,0,0
23614,1.6475e+09,0,0,0,0,0,0
23656,1.6476e+09,0,0,0,0,0,0
23701,1.6476e+09,0,0,0,0,0,0
23745,1.6476e+09,0,0,0,0,0,0
23790,1.6476e+09,0,0,0,0,0,0
23835,1.6476e+09,0,0,0,0,0,0
23880,1.6476e+09,0,0,0,0,0,0
23924,1.6476e+09,0,0,0,0,0,0
23970,1.6476e+09,0,0,0,0,0,0
24016,1.6476e+09,0,0,0,0,0,0
24060,1.6477e+09,0,0,0,0,0,0
24109,1.6477e+09,0,0,0,0,0,0
24153,1.6477e+09,0,0,0,0,0,0
24199,1.6477e+09,0,0,0,0,0,0
24244,1.6477e+09,0,0,0,0,0,0
24288,1.6477e+09,0,0,0,0,0,0
24336,1.6477e+09,0,0,0,0,0,0
24381,1.6477e+09,0,0,0,0,0,0
24427,1.6477e+09,0,0,0,0,0,0
24474,1.6477e+09,0,0,0,0,0,0
24522,1.6478e+09,0,0,0,0,0,0
24568,1.6478e+09,0,0,0,0,0,0
24610,1.6478e+09,0,0,0,0,0,0
24654,1.6478e+09,0,0,0,0,0,0
24697,1.6478e+09,0,0,0,0,0,0
24739,1.6478e+09,0,0,0,0,0,0
24783,1.6478e+09,0,0,0,0,0,0
24825,1.6478e+09,0,0,0,0,0,0
24868,1.6478e+09,0,0,0,0,0,0
24910,1.6479e+09,0,0,0,0,0,0
24956,1.6479e+09,0,0,0,0,0,0
25003,1.6479e+09,0,0,0,0,0,0
25046,1.6479e+09,0,0,0,0,0,0
25089,1.6479e+09,0,0,0,0,0,0
25131,1.6479e+09,0,0,0,0,0,0
25174,1.6479e+09,0,0,0,0,0,0
25216,1.6479e+09,0,0,0,0,0,0
25260,1.6479e+09,0,0,0,0,0,0
25303,1.6479e+09,0,0,0,0,0,0
25346,1.648e+09,0,0,0,0,0,0
25391,1.648e+09,0,0,0,0,0,0
25432,1.648e+09,0,0,0,0,0,0
25476,1.648e+09,0,0,0,0,0,0
25521,1.648e+09,0,0,0,0,0,0
25565,1.648e+09,0,0,0,0,0,0
25611,1.648e+09,0,0,0,0,0,0
25656,1.648e+09,0,0,0,0,0,0
25700,1.648e+09,0,0,0,0,0,0
25745,1.648e+09,0,0,0,0,0,0
25790,1.6481e+09,0,0,0,0,0,0
25835,1.6481e+09,0,0,0,0,0,0
25884,1.6481e+09,0,0,0,0,0,0
25929,1.6481e+09,0,0,0,0,0,0
25974,1.6481e+09,0,0,0,0,0,0
26019,1.6481e+09,0,0,0,0,0,0
26064,1.6481e+09,0,0,0,0,0,0
26108,1.6481e+09,0,0,0,0,0,0
26153,1.6481e+09,0,0,0,0,0,0
26196,1.6482e+09,0,0,0,0,0,0
26241,1.6482e+09,0,0,0,0,0,0
26287,1.6482e+09,0,0,0,0,0,0
26336,1.6482e+09,0,0,0,0,0,0
26380,1.6482e+09,0,0,0,0,0,0
26425,1.6482e+09,0,0,0,0,0,0
26470,1.6482e+09,0,0,0,0,0,0
