LineNo,TimeUS,I,MagX,MagY,MagZ,OfsX,OfsY,OfsZ,MOX,MOY,MOZ,Health,S
3.3837e+05,1.7254e+09,2,76,-143,443,-399,44,42,0,0,0,1,1.7254e+09
3.3878e+05,1.7255e+09,2,71,-157,439,-399,44,42,0,0,0,1,1.7255e+09
3.3922e+05,1.7256e+09,2,65,-156,438,-399,44,42,0,0,0,1,1.7256e+09
3.3967e+05,1.7257e+09,2,66,-144,448,-399,44,42,0,0,0,1,1.7257e+09
3.401e+05,1.7258e+09,2,65,-146,445,-399,44,42,0,0,0,1,1.7258e+09
3.4053e+05,1.7259e+09,2,64,-132,450,-399,44,42,0,0,0,1,1.7259e+09
3.4096e+05,1.726e+09,2,61,-146,454,-399,44,42,0,0,0,1,1.726e+09
3.4141e+05,1.7262e+09,2,67,-147,447,-399,44,42,0,0,0,1,1.7262e+09
3.4185e+05,1.7263e+09,2,77,-141,440,-399,44,42,0,0,0,1,1.7263e+09
3.4226e+05,1.7264e+09,2,81,-144,438,-399,44,42,0,0,0,1,1.7264e+09
3.4271e+05,1.7265e+09,2,88,-134,435,-399,44,42,0,0,0,1,1.7265e+09
3.4315e+05,1.7266e+09,2,85,-144,430,-399,44,42,0,0,0,1,1.7266e+09
3.436e+05,1.7267e+09,2,74,-141,445,-399,44,42,0,0,0,1,1.7267e+09
3.4401e+05,1.7268e+09,2,69,-149,452,-399,44,42,0,0,0,1,1.7268e+09
3.4445e+05,1.7269e+09,2,65,-148,453,-399,44,42,0,0,0,1,1.7269e+09
3.4486e+05,1.727e+09,2,58,-147,461,-399,44,42,0,0,0,1,1.727e+09
3.4531e+05,1.7271e+09,2,62,-126,447,-399,44,42,0,0,0,1,1.7271e+09
3.4575e+05,1.7272e+09,2,64,-116,450,-399,44,42,0,0,0,1,1.7272e+09
3.462e+05,1.7273e+09,2,71,-113,450,-399,44,42,0,0,0,1,1.7273e+09
3.4664e+05,1.7274e+09,2,67,-121,447,-399,44,42,0,0,0,1,1.7274e+09
3.4705e+05,1.7276e+09,2,61,-130,454,-399,44,42,0,0,0,1,1.7276e+09
3.4747e+05,1.7277e+09,2,54,-127,455,-399,44,42,0,0,0,1,1.7277e+09
3.479e+05,1.7278e+09,2,59,-126,450,-399,44,42,0,0,0,1,1.7278e+09
3.4831e+05,1.7279e+09,2,61,-145,457,-399,44,42,0,0,0,1,1.7279e+09
3.4875e+05,1.728e+09,2,61,-157,465,-399,44,42,0,0,0,1,1.728e+09
3.492e+05,1.7281e+09,2,68,-160,457,-399,44,42,0,0,0,1,1.7281e+09
3.4964e+05,1.7282e+09,2,67,-163,449,-399,44,42,0,0,0,1,1.7282e+09
3.5008e+05,1.7283e+09,2,81,-151,444,-399,44,42,0,0,0,1,1.7283e+09
3.5049e+05,1.7284e+09,2,79,-143,447,-399,44,42,0,0,0,1,1.7284e+09
3.5094e+05,1.7285e+09,2,75,-144,447,-399,44,42,0,0,0,1,1.7285e+09
3.5135e+05,1.7286e+09,2,81,-134,445,-399,44,42,0,0,0,1,1.7286e+09
3.5179e+05,1.7287e+09,2,80,-132,445,-399,44,42,0,0,0,1,1.7287e+09
3.5223e+05,1.7288e+09,2,85,-122,445,-399,44,42,0,0,0,1,1.7288e+09
3.5268e+05,1.729e+09,2,78,-120,461,-399,44,42,0,0,0,1,1.729e+09
3.5309e+05,1.7291e+09,2,80,-110,441,-399,44,42,0,0,0,1,1.7291e+09
3.535e+05,1.7292e+09,2,80,-111,448,-399,44,42,0,0,0,1,1.7292e+09
3.5395e+05,1.7293e+09,2,79,-114,451,-399,44,42,0,0,0,1,1.7293e+09
3.5439e+05,1.7294e+09,2,82,-103,444,-399,44,42,0,0,0,1,1.7294e+09
3.5481e+05,1.7295e+09,2,92,-112,443,-399,44,42,0,0,0,1,1.7295e+09
3.5522e+05,1.7296e+09,2,85,-117,442,-399,44,42,0,0,0,1,1.7296e+09
3.5566e+05,1.7297e+09,2,82,-109,449,-399,44,42,0,0,0,1,1.7297e+09
3.561e+05,1.7298e+09,2,84,-114,443,-399,44,42,0,0,0,1,1.7298e+09
3.5655e+05,1.7299e+09,2,87,-115,445,-399,44,42,0,0,0,1,1.7299e+09
3.5699e+05,1.73e+09,2,90,-117,443,-399,44,42,0,0,0,1,1.73e+09
3.5741e+05,1.7301e+09,2,87,-116,440,-399,44,42,0,0,0,1,1.7301e+09
3.5785e+05,1.7302e+09,2,82,-127,442,-399,44,42,0,0,0,1,1.7302e+09
3.5829e+05,1.7304e+09,2,97,-110,442,-399,44,42,0,0,0,1,1.7304e+09
3.587e+05,1.7305e+09,2,81,-129,442,-399,44,42,0,0,0,1,1.7305e+09
3.5914e+05,1.7306e+09,2,79,-136,451,-399,44,42,0,0,0,1,1.7306e+09
3.5959e+05,1.7307e+09,2,69,-138,450,-399,44,42,0,0,0,1,1.7307e+09
3.6e+05,1.7308e+09,2,67,-145,453,-399,44,42,0,0,0,1,1.7308e+09
3.6045e+05,1.7309e+09,2,66,-158,458,-399,44,42,0,0,0,1,1.7309e+09
3.6085e+05,1.731e+09,2,68,-174,444,-399,44,42,0,0,0,1,1.731e+09
3.6128e+05,1.7311e+09,2,67,-175,451,-399,44,42,0,0,0,1,1.7311e+09
3.6168e+05,1.7312e+09,2,67,-167,453,-399,44,42,0,0,0,1,1.7312e+09
3.6212e+05,1.7313e+09,2,77,-162,450,-399,44,42,0,0,0,1,1.7313e+09
3.6256e+05,1.7314e+09,2,66,-155,448,-399,44,42,0,0,0,1,1.7314e+09
3.6301e+05,1.7315e+09,2,76,-129,445,-399,44,42,0,0,0,1,1.7315e+09
3.6345e+05,1.7316e+09,2,74,-117,447,-399,44,42,0,0,0,1,1.7316e+09
3.6387e+05,1.7317e+09,2,72,-117,444,-399,44,42,0,0,0,1,1.7317e+09
3.6431e+05,1.7319e+09,2,75,-117,443,-399,44,42,0,0,0,1,1.7319e+09
3.6472e+05,1.732e+09,2,85,-120,443,-399,44,42,0,0,0,1,1.732e+09
3.6517e+05,1.7321e+09,2,81,-121,429,-399,44,42,0,0,0,1,1.7321e+09
3.6561e+05,1.7322e+09,2,84,-130,437,-399,44,42,0,0,0,1,1.7322e+09
3.6602e+05,1.7323e+09,2,81,-119,440,-399,44,42,0,0,0,1,1.7323e+09
3.6646e+05,1.7324e+09,2,87,-118,443,-399,44,42,0,0,0,1,1.7324e+09
3.6688e+05,1.7325e+09,2,80,-119,435,-399,44,42,0,0,0,1,1.7325e+09
3.6728e+05,1.7326e+09,2,75,-127,444,-399,44,42,0,0,0,1,1.7326e+09
3.6772e+05,1.7327e+09,2,66,-124,448,-399,44,42,0,0,0,1,1.7327e+09
3.6817e+05,1.7328e+09,2,76,-127,443,-399,44,42,0,0,0,1,1.7328e+09
3.6862e+05,1.7329e+09,2,81,-120,431,-399,44,42,0,0,0,1,1.7329e+09
3.6905e+05,1.733e+09,2,80,-120,427,-399,44,42,0,0,0,1,1.733e+09
3.6947e+05,1.7331e+09,2,89,-111,422,-399,44,42,0,0,0,1,1.7331e+09
3.6991e+05,1.7333e+09,2,92,-111,423,-399,44,42,0,0,0,1,1.7333e+09
3.7035e+05,1.7334e+09,2,90,-111,427,-399,44,42,0,0,0,1,1.7334e+09
3.708e+05,1.7335e+09,2,85,-112,427,-399,44,42,0,0,0,1,1.7335e+09
3.7124e+05,1.7336e+09,2,74,-108,432,-399,44,42,0,0,0,1,1.7336e+09
3.7166e+05,1.7337e+09,2,89,-106,423,-399,44,42,0,0,0,1,1.7337e+09
3.721e+05,1.7338e+09,2,87,-113,427,-399,44,42,0,0,0,1,1.7338e+09
3.7254e+05,1.7339e+09,2,69,-119,442,-399,44,42,0,0,0,1,1.7339e+09
3.7294e+05,1.734e+09,2,76,-121,443,-399,44,42,0,0,0,1,1.734e+09
3.7337e+05,1.7341e+09,2,64,-127,449,-399,44,42,0,0,0,1,1.7341e+09
3.7381e+05,1.7342e+09,2,56,-134,448,-399,44,42,0,0,0,1,1.7342e+09
3.7425e+05,1.7343e+09,2,62,-124,455,-399,44,42,0,0,0,1,1.7343e+09
3.7469e+05,1.7344e+09,2,62,-134,445,-399,44,42,0,0,0,1,1.7344e+09
3.7514e+05,1.7345e+09,2,66,-139,455,-399,44,42,0,0,0,1,1.7345e+09
3.7555e+05,1.7346e+09,2,60,-128,446,-399,44,42,0,0,0,1,1.7346e+09
3.76e+05,1.7348e+09,2,61,-139,455,-399,44,42,0,0,0,1,1.7348e+09
3.7644e+05,1.7349e+09,2,62,-141,448,-399,44,42,0,0,0,1,1.7349e+09
3.7685e+05,1.735e+09,2,52,-144,452,-399,44,42,0,0,0,1,1.735e+09
