LineNo,TimeUS,C,IVN0,IVN1,IVN2,IVN3,IVN4,IVE0,IVE1,IVE2,IVE3,IVE4
15756,1.6457e+09,1,0,0,0,0,0,0,0,0,0,0
15806,1.6457e+09,1,0,0,0,0,0,0,0,0,0,0
15850,1.6457e+09,1,0,0,0,0,0,0,0,0,0,0
15895,1.6457e+09,1,0,0,0,0,0,0,0,0,0,0
15940,1.6457e+09,1,0,0,0,0,0,0,0,0,0,0
15986,1.6457e+09,1,0,0,0,0,0,0,0,0,0,0
16032,1.6457e+09,1,0,0,0,0,0,0,0,0,0,0
16071,1.6458e+09,1,-1.4427,0.59849,1.8084,0.51505,-1.4943,-1.0952,-1.7042,0.048868,1.7413,1.0343
16118,1.6458e+09,1,-1.4427,0.59849,1.8084,0.51505,-1.4943,-1.0952,-1.7042,0.048868,1.7413,1.0343
16163,1.6458e+09,1,-1.4427,0.59849,1.8084,0.51505,-1.4943,-1.0952,-1.7042,0.048868,1.7413,1.0343
16208,1.6458e+09,1,-1.4427,0.59849,1.8084,0.51505,-1.4943,-1.0952,-1.7042,0.048868,1.7413,1.0343
16258,1.6458e+09,1,-1.4427,0.59849,1.8084,0.51505,-1.4943,-1.0952,-1.7042,0.048868,1.7413,1.0343
16303,1.6458e+09,1,-1.4427,0.59849,1.8084,0.51505,-1.4943,-1.0952,-1.7042,0.048868,1.7413,1.0343
16347,1.6458e+09,1,-1.4427,0.59849,1.8084,0.51505,-1.4943,-1.0952,-1.7042,0.048868,1.7413,1.0343
16394,1.6458e+09,1,-1.4427,0.59849,1.8084,0.51505,-1.4943,-1.0952,-1.7042,0.048868,1.7413,1.0343
16444,1.6458e+09,1,-1.4427,0.59849,1.8084,0.51505,-1.4943,-1.0952,-1.7042,0.048868,1.7413,1.0343
16488,1.6459e+09,1,-1.4427,0.59849,1.8084,0.51505,-1.4943,-1.0952,-1.7042,0.048868,1.7413,1.0343
16533,1.6459e+09,1,-1.4427,0.59849,1.8084,0.51505,-1.4943,-1.0952,-1.7042,0.048868,1.7413,1.0343
16578,1.6459e+09,1,-1.4427,0.59849,1.8084,0.51505,-1.4943,-1.0952,-1.7042,0.048868,1.7413,1.0343
16622,1.6459e+09,1,-1.4427,0.59849,1.8084,0.51505,-1.4943,-1.0952,-1.7042,0.048868,1.7413,1.0343
16668,1.6459e+09,1,-1.4427,0.59849,1.8084,0.51505,-1.4943,-1.0952,-1.7042,0.048868,1.7413,1.0343
16716,1.6459e+09,1,-1.4427,0.59849,1.8084,0.51505,-1.4943,-1.0952,-1.7042,0.048868,1.7413,1.0343
16761,1.6459e+09,1,-1.4427,0.59849,1.8084,0.51505,-1.4943,-1.0952,-1.7042,0.048868,1.7413,1.0343
16805,1.6459e+09,1,-1.4427,0.59849,1.8084,0.51505,-1.4943,-1.0952,-1.7042,0.048868,1.7413,1.0343
16851,1.6459e+09,1,-1.4427,0.59849,1.8084,0.51505,-1.4943,-1.0952,-1.7042,0.048868,1.7413,1.0343
16897,1.6459e+09,1,-1.4427,0.59849,1.8084,0.51505,-1.4943,-1.0952,-1.7042,0.048868,1.7413,1.0343
16940,1.646e+09,1,-1.4427,0.59849,1.8084,0.51505,-1.4943,-1.0952,-1.7042,0.048868,1.7413,1.0343
17720,1.6461e+09,1,0,0,0,0,0,0,0,0,0,0
17766,1.6462e+09,1,0,0,0,0,0,0,0,0,0,0
17811,1.6462e+09,1,0,0,0,0,0,0,0,0,0,0
17855,1.6462e+09,1,0,0,0,0,0,0,0,0,0,0
17899,1.6462e+09,1,0,0,0,0,0,0,0,0,0,0
17944,1.6462e+09,1,0,0,0,0,0,0,0,0,0,0
17992,1.6462e+09,1,0,0,0,0,0,0,0,0,0,0
18041,1.6462e+09,1,0,0,0,0,0,0,0,0,0,0
18086,1.6462e+09,1,0,0,0,0,0,0,0,0,0,0
18133,1.6462e+09,1,0,0,0,0,0,0,0,0,0,0
18183,1.6463e+09,1,0,0,0,0,0,0,0,0,0,0
18232,1.6463e+09,1,0,0,0,0,0,0,0,0,0,0
18277,1.6463e+09,1,0,0,0,0,0,0,0,0,0,0
18321,1.6463e+09,1,0,0,0,0,0,0,0,0,0,0
18366,1.6463e+09,1,0,0,0,0,0,0,0,0,0,0
18415,1.6463e+09,1,0,0,0,0,0,0,0,0,0,0
18460,1.6463e+09,1,0,0,0,0,0,0,0,0,0,0
18508,1.6463e+09,1,0,0,0,0,0,0,0,0,0,0
18554,1.6463e+09,1,-1.5915,0.65983,2.0076,0.58924,-1.6352,-1.2116,-1.8972,0.032115,1.9101,1.1415
18597,1.6464e+09,1,-1.5915,0.65983,2.0076,0.58924,-1.6352,-1.2116,-1.8972,0.032115,1.9101,1.1415
18641,1.6464e+09,1,-1.5915,0.65983,2.0076,0.58924,-1.6352,-1.2116,-1.8972,0.032115,1.9101,1.1415
18687,1.6464e+09,1,-1.5915,0.65983,2.0076,0.58924,-1.6352,-1.2116,-1.8972,0.032115,1.9101,1.1415
18732,1.6464e+09,1,-1.5915,0.65983,2.0076,0.58924,-1.6352,-1.2116,-1.8972,0.032115,1.9101,1.1415
18776,1.6464e+09,1,-1.5915,0.65983,2.0076,0.58924,-1.6352,-1.2116,-1.8972,0.032115,1.9101,1.1415
18821,1.6464e+09,1,-1.5915,0.65983,2.0076,0.58924,-1.6352,-1.2116,-1.8972,0.032115,1.9101,1.1415
18869,1.6464e+09,1,-1.5915,0.65983,2.0076,0.58924,-1.6352,-1.2116,-1.8972,0.032115,1.9101,1.1415
18914,1.6464e+09,1,-1.5915,0.65983,2.0076,0.58924,-1.6352,-1.2116,-1.8972,0.032115,1.9101,1.1415
18959,1.6464e+09,1,-1.5915,0.65983,2.0076,0.58924,-1.6352,-1.2116,-1.8972,0.032115,1.9101,1.1415
19004,1.6465e+09,1,-1.5915,0.65983,2.0076,0.58924,-1.6352,-1.2116,-1.8972,0.032115,1.9101,1.1415
19052,1.6465e+09,1,-1.5915,0.65983,2.0076,0.58924,-1.6352,-1.2116,-1.8972,0.032115,1.9101,1.1415
19097,1.6465e+09,1,-1.5915,0.65983,2.0076,0.58924,-1.6352,-1.2116,-1.8972,0.032115,1.9101,1.1415
19142,1.6465e+09,1,-1.5915,0.65983,2.0076,0.58924,-1.6352,-1.2116,-1.8972,0.032115,1.9101,1.1415
19187,1.6465e+09,1,-1.5915,0.65983,2.0076,0.58924,-1.6352,-1.2116,-1.8972,0.032115,1.9101,1.1415
19232,1.6465e+09,1,-1.5915,0.65983,2.0076,0.58924,-1.6352,-1.2116,-1.8972,0.032115,1.9101,1.1415
19276,1.6465e+09,1,-1.5915,0.65983,2.0076,0.58924,-1.6352,-1.2116,-1.8972,0.032115,1.9101,1.1415
19325,1.6465e+09,1,-1.5915,0.65983,2.0076,0.58924,-1.6352,-1.2116,-1.8972,0.032115,1.9101,1.1415
