LineNo,TimeUS,RDes,R,ROut,PDes,P,POut,YDes,Y,YOut,ADes,A,AOut
4.2503e+05,1.7469e+09,0.48179,12.536,-0.16045,2.3613,5.01,-0.0085519,4.7945,-3.8798,-0.079564,-61.761,-52.004,0.2401
4.2507e+05,1.7469e+09,-2.6301,8.1823,-0.13582,1.696,6.6029,-0.024606,4.8805,-2.3303,-0.079184,-61.235,-32.803,0.24074
4.2512e+05,1.7469e+09,-3.1085,-2.3441,-0.048297,2.0428,2.8935,0.0080042,5.0497,-2.5363,-0.079001,-60.346,-40.803,0.24065
4.2516e+05,1.7469e+09,-5.8552,0.8578,-0.073838,1.5792,1.9099,0.029141,5.2788,-2.3259,-0.078089,-58.023,-47.46,0.24091
4.252e+05,1.7469e+09,-5.0433,-4.13,-0.043069,0.73601,-0.83494,0.052978,5.3154,-1.2653,-0.077996,-56.471,-34.594,0.24085
4.2525e+05,1.747e+09,-5.3499,7.4932,-0.16505,-0.11932,7.915,-0.040254,5.4558,-4.6966,-0.077085,-53.719,-63.006,0.24102
4.253e+05,1.747e+09,-4.5822,5.5768,-0.14284,0.27579,3.5415,-0.0092918,5.5912,-3.6514,-0.076813,-52.337,-27.986,0.24194
4.2534e+05,1.747e+09,-4.3884,-4.3796,-0.054439,0.91648,2.4717,-0.0015132,5.7007,-1.8136,-0.076403,-49.284,-73.74,0.24206
4.2539e+05,1.747e+09,-3.7716,-10.329,0.017708,0.95938,-0.40332,0.035935,5.7032,1.2058,-0.076636,-48.439,-16.634,0.24313
4.2544e+05,1.747e+09,-4.931,3.69,-0.1622,0.40683,-2.2684,0.034419,5.9072,-4.8822,-0.076051,-49.829,-41.641,0.2432
4.2548e+05,1.747e+09,-3.7378,-10.815,-0.030298,0.42495,0.44647,0.0076603,5.9184,-1.6289,-0.075946,-48.521,-56.616,0.24371
4.2553e+05,1.747e+09,-2.1942,-10.772,-0.026901,-0.10465,-2.4433,0.031113,6.0637,-1.094,-0.075501,-48.849,-54.244,0.24414
4.2557e+05,1.747e+09,0.99519,-0.87954,-0.10676,-0.39002,9.2344,-0.08915,6.0583,-0.5842,-0.075161,-46.373,-50.943,0.24481
4.2562e+05,1.747e+09,5.7064,-12.552,0.0055341,1.6893,-3.7277,0.040795,6.197,-1.7865,-0.075092,-45.34,-11.71,0.24554
4.2566e+05,1.7471e+09,5.8354,-12.921,0.020576,1.7633,-4.801,0.053812,6.2571,0.59406,-0.074904,-43.554,-49.81,0.24536
4.257e+05,1.7471e+09,10.466,1.2734,-0.091002,0.97116,-0.017862,-0.011265,6.3469,-2.8673,-0.074402,-42.566,-31.803,0.2459
4.2575e+05,1.7471e+09,11.757,-2.7043,-0.067579,1.1663,-2.0998,0.0059994,6.3774,-1.9199,-0.074322,-41.469,-29.341,0.2462
4.258e+05,1.7471e+09,11.271,-8.6433,0.0066977,1.996,-4.6885,0.036947,6.4333,-0.10102,-0.074244,-40.348,-27.101,0.24627
4.2584e+05,1.7471e+09,10.822,-2.7193,-0.034638,1.5959,-9.0189,0.07378,6.5122,-1.2651,-0.074091,-39.599,-23.303,0.24621
4.2589e+05,1.7471e+09,10.558,7.1204,-0.13779,1.0466,-7.6154,0.056622,6.6585,-4.2865,-0.073465,-38.637,-38.937,0.24627
4.2593e+05,1.7471e+09,10.751,0.37175,-0.066901,0.85495,-6.5253,0.046493,6.5979,0.093066,-0.073543,-38.321,-17.687,0.24629
