LineNo,TimeUS,C,Q1,Q2,Q3,Q4
15527,1.6456e+09,0,-0.98477,0.025965,-0.0046613,-0.17185
15574,1.6456e+09,0,-0.98474,0.026009,-0.0050571,-0.17197
15619,1.6457e+09,0,-0.9848,0.025758,-0.0049777,-0.1717
15664,1.6457e+09,0,-0.98477,0.025766,-0.0049268,-0.17188
15708,1.6457e+09,0,-0.98483,0.02547,-0.0049597,-0.1716
15753,1.6457e+09,0,-0.9848,0.025263,-0.0050939,-0.17177
15803,1.6457e+09,0,-0.98481,0.02546,-0.0052716,-0.1717
15847,1.6457e+09,0,-0.98481,0.025342,-0.0049961,-0.17173
15892,1.6457e+09,0,-0.98479,0.025413,-0.0053672,-0.17182
15937,1.6457e+09,0,-0.9848,0.025234,-0.0050385,-0.17175
15983,1.6457e+09,0,-0.98475,0.025663,-0.0052408,-0.172
16029,1.6457e+09,0,-0.98479,0.02538,-0.0047973,-0.1718
16068,1.6458e+09,0,-0.98476,0.025519,-0.0049149,-0.17198
16113,1.6458e+09,0,-0.98477,0.025666,-0.004888,-0.17188
16160,1.6458e+09,0,-0.98476,0.025816,-0.0046348,-0.17195
16205,1.6458e+09,0,-0.98476,0.025899,-0.0049641,-0.17193
16255,1.6458e+09,0,-0.98477,0.025731,-0.0047787,-0.17189
16300,1.6458e+09,0,-0.98475,0.026137,-0.0050958,-0.17195
16344,1.6458e+09,0,-0.98478,0.025954,-0.0048383,-0.1718
16391,1.6458e+09,0,-0.98476,0.025987,-0.0049984,-0.17191
16441,1.6458e+09,0,-0.98476,0.025737,-0.0051536,-0.17193
16485,1.6459e+09,0,-0.98479,0.025509,-0.004736,-0.17183
16530,1.6459e+09,0,-0.98476,0.025614,-0.0050822,-0.17193
16575,1.6459e+09,0,-0.98479,0.025175,-0.0048342,-0.17187
16619,1.6459e+09,0,-0.98475,0.025607,-0.0051556,-0.17202
16665,1.6459e+09,0,-0.98478,0.025294,-0.005021,-0.17186
16713,1.6459e+09,0,-0.98476,0.02539,-0.005051,-0.17197
16758,1.6459e+09,0,-0.98477,0.025261,-0.0052621,-0.17192
16802,1.6459e+09,0,-0.98476,0.025364,-0.0049474,-0.172
16848,1.6459e+09,0,-0.98476,0.025466,-0.0052624,-0.17198
16894,1.6459e+09,0,-0.98477,0.025339,-0.0048898,-0.17195
16937,1.646e+09,0,-0.98474,0.025857,-0.0051851,-0.17205
16979,1.646e+09,0,-0.98476,0.025756,-0.0047987,-0.17191
17022,1.646e+09,0,-0.98474,0.026002,-0.0049246,-0.17201
17065,1.646e+09,0,-0.98476,0.025676,-0.0049694,-0.17195
17107,1.646e+09,0,-0.98473,0.025907,-0.0048479,-0.17205
17154,1.646e+09,0,-0.98475,0.025765,-0.0050647,-0.172
17196,1.646e+09,0,-0.98474,0.025655,-0.0047881,-0.17205
17238,1.646e+09,0,-0.98474,0.025501,-0.0052782,-0.17205
17283,1.646e+09,0,-0.98474,0.025403,-0.0046043,-0.17208
17325,1.646e+09,0,-0.98473,0.02556,-0.0049898,-0.17212
17372,1.6461e+09,0,-0.98475,0.025514,-0.004948,-0.17203
17414,1.6461e+09,0,-0.98475,0.025715,-0.0047017,-0.17203
17457,1.6461e+09,0,-0.98474,0.025581,-0.0052673,-0.17204
17500,1.6461e+09,0,-0.98476,0.025439,-0.0046579,-0.17196
17542,1.6461e+09,0,-0.98475,0.025398,-0.005415,-0.17204
17590,1.6461e+09,0,-0.98477,0.025376,-0.0044662,-0.17193
17632,1.6461e+09,0,-0.98476,0.025302,-0.0052102,-0.17199
17675,1.6461e+09,0,-0.98478,0.025193,-0.0046534,-0.17191
17717,1.6461e+09,0,-0.98476,0.025574,-0.0047061,-0.17195
17763,1.6462e+09,0,-0.98476,0.025367,-0.0052547,-0.17196
17808,1.6462e+09,0,-0.98477,0.025308,-0.0047109,-0.17194
17852,1.6462e+09,0,-0.98475,0.025344,-0.0053066,-0.17204
17896,1.6462e+09,0,-0.98476,0.025391,-0.0045591,-0.17199
17941,1.6462e+09,0,-0.98474,0.025463,-0.0050744,-0.17208
17989,1.6462e+09,0,-0.98476,0.025313,-0.0046806,-0.17202
18038,1.6462e+09,0,-0.98473,0.025847,-0.0048461,-0.17208
18083,1.6462e+09,0,-0.98475,0.025525,-0.0051282,-0.17204
18130,1.6462e+09,0,-0.98475,0.025346,-0.0048157,-0.17203
18178,1.6463e+09,0,-0.98473,0.025791,-0.0049107,-0.17207
