LineNo,TimeUS,C15,C16,C17,C18
27487,2.6356e+07,0,0,0,0
27532,2.6366e+07,0,0,0,0
27572,2.6375e+07,0,0,0,0
27613,2.6385e+07,0,0,0,0
27653,2.6396e+07,0,0,0,0
27691,2.6406e+07,0,0,0,0
27736,2.6419e+07,0,0,0,0
27780,2.6431e+07,0,0,0,0
27824,2.6442e+07,0,0,0,0
27865,2.6452e+07,0,0,0,0
27906,2.6462e+07,0,0,0,0
27951,2.6472e+07,0,0,0,0
27992,2.6482e+07,0,0,0,0
28033,2.6492e+07,0,0,0,0
28073,2.6502e+07,0,0,0,0
28108,2.6512e+07,0,0,0,0
28149,2.6522e+07,0,0,0,0
28190,2.6532e+07,0,0,0,0
28231,2.6543e+07,0,0,0,0
28272,2.6553e+07,0,0,0,0
28313,2.6563e+07,0,0,0,0
28358,2.6573e+07,0,0,0,0
28399,2.6583e+07,0,0,0,0
28440,2.6593e+07,0,0,0,0
28480,2.6606e+07,0,0,0,0
28521,2.6617e+07,0,0,0,0
28562,2.6627e+07,0,0,0,0
28603,2.6637e+07,0,0,0,0
28646,2.6647e+07,0,0,0,0
28687,2.6657e+07,0,0,0,0
28737,2.667e+07,0,0,0,0
28778,2.668e+07,0,0,0,0
28819,2.669e+07,0,0,0,0
28859,2.67e+07,0,0,0,0
28900,2.671e+07,0,0,0,0
28937,2.6721e+07,0,0,0,0
28978,2.6731e+07,0,0,0,0
29021,2.6742e+07,0,0,0,0
29062,2.6752e+07,0,0,0,0
29104,2.6761e+07,0,0,0,0
29148,2.6772e+07,0,0,0,0
29189,2.6782e+07,0,0,0,0
29230,2.6792e+07,0,0,0,0
29271,2.6802e+07,0,0,0,0
29311,2.6811e+07,0,0,0,0
29352,2.6822e+07,0,0,0,0
29393,2.6832e+07,0,0,0,0
29434,2.6842e+07,0,0,0,0
29477,2.6852e+07,0,0,0,0
29519,2.6862e+07,0,0,0,0
29563,2.6873e+07,0,0,0,0
29605,2.6883e+07,0,0,0,0
29645,2.6893e+07,0,0,0,0
29687,2.6904e+07,0,0,0,0
29727,2.6914e+07,0,0,0,0
29768,2.6924e+07,0,0,0,0
29805,2.6934e+07,0,0,0,0
29847,2.6944e+07,0,0,0,0
29888,2.6954e+07,0,0,0,0
29928,2.6965e+07,0,0,0,0
29973,2.6975e+07,0,0,0,0
30014,2.6985e+07,0,0,0,0
30055,2.6995e+07,0,0,0,0
30096,2.7005e+07,0,0,0,0
30134,2.7015e+07,0,0,0,0
30173,2.7026e+07,0,0,0,0
30213,2.7036e+07,0,0,0,0
30255,2.7046e+07,0,0,0,0
30297,2.7056e+07,0,0,0,0
30338,2.7066e+07,0,0,0,0
30383,2.7076e+07,0,0,0,0
30423,2.7086e+07,0,0,0,0
30466,2.7097e+07,0,0,0,0
30506,2.7106e+07,0,0,0,0
30541,2.7116e+07,0,0,0,0
