LineNo,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
6513,21185710,0,1.39,0.39,17.68,-0.004369993,-0.0002798778,-0.4162188,-0.007295214,0,0,-0.6639032,0,0,-0.21,0
6553,21195801,0,1.4,0.39,17.68,-0.004430549,-0.0004793097,-0.4161736,0.004106575,0,0,-0.6680612,0,0,-0.21,0
6594,21205677,0,1.4,0.39,17.69,-0.004193051,-0.0007416887,-0.4140987,0.01240044,0,0,-0.6668269999999999,0,0,-0.21,0
6634,21215777,0,1.4,0.39,17.69,-0.003860828,-0.0009191343,-0.4116787,0.01990808,0,0,-0.6658077,0,0,-0.21,0
6680,21225696,0,1.4,0.39,17.69,-0.003671697,-0.001316431,-0.4095245,0.02293718,0,0,-0.6649813999999999,0,0,-0.21,0
6720,21235688,0,1.4,0.4,17.69,-0.003198567,-0.001676154,-0.4074619,0.02432786,0,0,-0.6643509,0,0,-0.21,0
6761,21245664,0,1.4,0.4,17.69,-0.002594102,-0.001953966,-0.4072926,0.0281026,0,0,-0.6684201,0,0,-0.21,0
6802,21255631,0,1.4,0.4,17.69,-0.00214994,-0.002081848,-0.4051342,0.02812392,0,0,-0.6679502,0,0,-0.21,0
6840,21267996,0,1.39,0.41,17.69,-0.001175824,-0.001777567,-0.4023995,0.032501,0,0,-0.666686,0,0,-0.2,0
6883,21277881,0,1.39,0.41,17.69,-0.0003790957,-0.00163333,-0.4000341,0.04354722,0,0,-0.6644752,0,0,-0.2,0
6924,21288275,0,1.39,0.41,17.69,0.0001532762,-0.001456061,-0.3977565,0.05459988,0,0,-0.6625135,0,0,-0.2,0
6965,21298253,0,1.39,0.4,17.68,0.0007503881,-0.0009241821,-0.3954078,0.06175812,0,0,-0.6607764,0,0,-0.2,0
7005,21308244,0,1.39,0.4,17.68,0.001244635,-0.000586151,-0.3933707,0.06734973,0,0,-0.6592682,0,0,-0.2,0
7046,21318877,0,1.39,0.4,17.68,0.001718595,8.867617e-05,-0.3929801,0.07634521,0,0,-0.6635883,0,0,-0.2,0
7090,21329061,0,1.39,0.4,17.68,0.001909473,0.0005780409,-0.3905309,0.08126467,0,0,-0.6622606,0,0,-0.2,0
7132,21338899,0,1.39,0.4,17.68,0.001974283,0.001102236,-0.3884735,0.08146277,0,0,-0.6611320000000001,0,0,-0.2,0
7173,21349179,0,1.4,0.39,17.68,0.001973419,0.001413074,-0.3862969,0.0800497,0,0,-0.660202,0,0,-0.2,0
7213,21361341,0,1.4,0.39,17.68,0.001574796,0.001602278,-0.3832662,0.07720717000000001,0,0,-0.6581572999999999,0,0,-0.2,0
7256,21371389,0,1.4,0.39,17.68,0.001379781,0.001750636,-0.3826986,0.07868297,0,0,-0.6619836,0,0,-0.2,0
7294,21381813,0,1.4,0.39,17.67,0.001081717,0.001744425,-0.3802451,0.08103494999999999,0,0,-0.6593751,0,0,-0.19,0
7336,21391844,0,1.4,0.39,17.67,0.0008826177,0.001916039,-0.3775877,0.08605559,0,0,-0.6570251,0,0,-0.19,0
7376,21401831,0,1.4,0.39,17.67,0.0006441156,0.001887349,-0.3750428,0.09655513,0,0,-0.6549315,0,0,-0.19,0
7417,21411893,0,1.4,0.39,17.67,0.0001306115,0.001760096,-0.3726957,0.1019279,0,0,-0.6530675,0,0,-0.19,0
7466,21424143,0,1.4,0.38,17.66,-0.0006237086,0.001709805,-0.3699415,0.1103212,0,0,-0.6525317,0,0,-0.19,0
7506,21434797,0,1.39,0.38,17.66,-0.0008318604,0.001413308,-0.3674699,0.1145797,0,0,-0.6510996999999999,0,0,-0.19,0
7547,21444843,0,1.39,0.38,17.66,-0.001128845,0.001349213,-0.3651497,0.1153149,0,0,-0.6498686,0,0,-0.19,0
